Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
365-93-8991,A,Yangon,Member,Male,Food and beverages,77.05,10,38.525,809.025,1/1/2019,1:00,Ewallet,770.5,4.761904762,38.525,9
179-46-9592,A,Yangon,Member,Male,Home and lifestyle,76.17,2,7.617,159.957,1/1/2019,3:00,Ewallet,152.34,4.761904762,7.617,8.5
915-93-3329,B,Mandalay,Normal,Male,Food and beverages,48.81,4,9.762,205.002,1/1/2019,4:00,Cash,195.24,4.761904762,9.762,4.9
211-92-8545,A,Yangon,Member,Male,Home and lifestyle,86.6,4,17.32,363.72,1/1/2019,5:00,Ewallet,346.4,4.761904762,17.32,8.6
850-21-1569,B,Mandalay,Member,Female,Electronic accessories,86.22,4,17.244,362.124,1/1/2019,9:00,Cash,344.88,4.761904762,17.244,6.8
608-63-9737,B,Mandalay,Member,Female,Home and lifestyle,10.94,6,3.282,68.922,1/1/2019,9:00,Credit card,65.64,4.761904762,3.282,5.7
874-44-1270,A,Yangon,Normal,Female,Fashion accessories,42.82,2,4.282,89.922,1/1/2019,10:00,Credit card,85.64,4.761904762,4.282,4
573-34-2257,C,Naypyitaw,Normal,Female,Electronic accessories,102.88,6,30.864,648.144,1/1/2019,11:00,Ewallet,617.28,4.761904762,30.864,6.6
158-88-5858,A,Yangon,Member,Male,Home and lifestyle,40.78,7,14.273,299.733,1/1/2019,16:00,Ewallet,285.46,4.761904762,14.273,7
489-61-9910,A,Yangon,Member,Male,Food and beverages,11.16,10,5.58,117.18,1/1/2019,19:00,Credit card,111.6,4.761904762,5.58,9.4
955-30-1120,C,Naypyitaw,Normal,Male,Food and beverages,64.95,3,9.7425,204.5925,1/1/2019,21:00,Credit card,194.85,4.761904762,9.7425,8.4
864-41-8236,B,Mandalay,Normal,Female,Food and beverages,69.17,8,27.668,581.028,1/2/2019,0:00,Cash,553.36,4.761904762,27.668,6.1
545-13-2109,C,Naypyitaw,Member,Female,Sports and travel,25.5,2,2.55,53.55,1/2/2019,3:00,Cash,51,4.761904762,2.55,7.6
885-90-9177,B,Mandalay,Member,Female,Health and beauty,63.6,8,25.44,534.24,1/2/2019,4:00,Ewallet,508.8,4.761904762,25.44,8.2
725-65-6911,A,Yangon,Member,Male,Food and beverages,23.02,5,5.755,120.855,1/2/2019,10:00,Credit card,115.1,4.761904762,5.755,7.1
421-22-6828,C,Naypyitaw,Normal,Female,Electronic accessories,88.81,2,8.881,186.501,1/2/2019,11:00,Cash,177.62,4.761904762,8.881,6.1
998-46-7436,C,Naypyitaw,Member,Male,Food and beverages,29.04,7,10.164,213.444,1/2/2019,12:00,Ewallet,203.28,4.761904762,10.164,6.2
584-12-8614,C,Naypyitaw,Member,Male,Sports and travel,40.05,2,4.005,84.105,1/2/2019,14:00,Ewallet,80.1,4.761904762,4.005,7.6
