house_id,city,area_name,sqft,bedrooms,bathrooms,floors,garage_cars,has_pool,has_garden,furnished,quality,year_built,age_years,school_dist_km,hospital_dist_km,metro_dist_km,crime_rate,price_lakhs
TN3000,Coimbatore,Kodambakkam,681,3,3,1,2,0,0,Semi,Good,2016,8,1.15,4.78,2.44,4.95,44.37
TN3001,Hosur,KK Nagar,2003,2,1,1,0,1,0,Unfurnished,Good,2006,18,2.24,5.54,0.5,4.14,104.51
TN3002,Salem,Tambaram,1497,3,2,1,2,0,0,Fully,Average,2002,22,1.08,1.54,2.34,6.81,56.17
TN3003,Madurai,Sholinganallur,2075,3,3,2,1,0,0,Semi,Average,2016,8,0.6,1.69,1.84,3.81,77.41
TN3004,Chennai,T Nagar,1776,5,5,1,1,0,0,Unfurnished,Poor,2011,13,0.31,0.48,4.43,2.53,70.51
TN3005,Chennai,Nungambakkam,1478,1,1,3,1,0,1,Unfurnished,Average,2012,12,5.3,0.3,11.14,5.54,77.74
TN3006,Chennai,Porur,1792,2,2,1,0,0,1,Fully,Average,2002,22,1.45,3.08,0.5,4.2,96.81
TN3007,Tirunelveli,Sholinganallur,1273,4,3,1,0,1,0,Unfurnished,Average,2013,11,2.45,0.3,1.59,5,44.09
TN3008,Trichy,Anna Nagar,1102,4,4,1,0,1,1,Fully,Excellent,2002,22,1.69,3.97,2.35,5.92,68.23
TN3009,Salem,Sholinganallur,1815,3,2,1,0,0,0,Semi,Excellent,1992,32,5.15,2.32,2.43,3.34,82.5
TN3010,Chennai,KK Nagar,1070,4,4,2,1,0,1,Fully,Good,2015,9,1.98,0.66,5.96,4.06,82.85
TN3011,Thanjavur,Saibaba Colony,1739,2,1,3,1,0,0,Semi,Average,2018,6,1.64,2.33,2.34,3.88,51.14
TN3012,Vellore,Sholinganallur,1464,3,3,2,1,0,1,Semi,Excellent,1991,33,6.46,0.61,0.5,,73.75
TN3013,Chennai,Kodambakkam,402,2,1,1,0,0,0,Semi,Fair,2020,4,3.18,1.73,4.95,4.53,19.8
TN3014,Chennai,Saibaba Colony,,2,1,1,2,1,0,Fully,Good,2002,22,0.3,4.82,8.65,4.81,86.02
TN3015,Chennai,Sholinganallur,1601,4,3,2,1,0,0,Fully,Fair,2022,2,0.49,1.86,2.89,2.19,85.38
TN3016,Coimbatore,RS Puram,1267,2,1,3,2,0,0,Semi,Good,1993,31,3.87,0.48,3.48,5.96,69.18
