customer_id,city,age,gender,recency_days,frequency,monetary,avg_order_value,R_score,F_score,M_score,RFM_score,kmeans_cluster,segment
CUST10000,Bengaluru,49,Male,60,13,11599.20438,1183.4,3,4,4,11,0,Champions
CUST10001,Kochi,37,Male,29,19,25132.84,1322.78,4,5,5,14,0,Champions
CUST10002,Delhi,27,Male,94,14,5034.03,359.57,3,5,2,10,1,Lost
CUST10003,Mumbai,39,Other,225,3,4587.25,1529.08,2,2,2,6,3,At-Risk
CUST10004,Chennai,29,Male,161,9,10718.88,1190.99,2,4,4,10,3,At-Risk
CUST10005,Chennai,26,Female,39,10,15884.35,1588.44,4,4,4,12,0,Champions
CUST10006,Chennai,21,Male,57,16,6385.21,399.08,3,5,3,11,0,Champions
CUST10007,Pune,18,Male,8,12,27522.95093,1320.87,5,4,5,14,0,Champions
CUST10008,Mumbai,30,Male,19,16,12841.33,802.58,5,5,4,14,0,Champions
CUST10009,Delhi,36,Female,8,19,53123.38,2795.97,5,5,5,15,0,Champions
CUST10010,Chennai,33,Male,304,1,3331.88,3331.88,1,1,2,4,3,At-Risk
CUST10011,Kochi,29,Female,264,2,1468.29,734.14,1,1,1,3,1,Lost
CUST10012,Hyderabad,24,Male,23,17,26803.32,1576.67,5,5,5,15,0,Champions
CUST10013,Coimbatore,41,Male,21,11,36309.82,3300.89,5,4,5,14,0,Champions
CUST10014,Coimbatore,20,Female,54,12,10584.73,882.06,4,4,4,12,0,Champions
CUST10015,Coimbatore,43,Male,68,8,7072.53,884.07,3,3,3,9,3,At-Risk
CUST10016,Madurai,23,Female,56,12,14015.68669,1193.1,4,4,4,12,0,Champions
CUST10017,Mumbai,26,Female,1,11,15715.07,1428.64,5,4,4,13,0,Champions
CUST10018,Bengaluru,18,Male,44,12,10247.69,853.97,4,4,4,12,0,Champions
CUST10019,Madurai,28,Female,238,1,909.26,909.26,1,1,1,3,1,Lost
CUST10020,Mumbai,45,Male,126,6,9914.55,1652.42,2,3,3,8,3,At-Risk
CUST10021,Chennai,40,Male,175,1,7552.19,7552.19,2,1,3,6,3,At-Risk
