customer_id,city,age,gender,recency_days,frequency,monetary,avg_order_value,days_as_customer,num_categories,num_returns,promo_used,avg_rating_given,mobile_orders_pct,last_category,true_segment
CUST10000,Bengaluru,49,Male,60,13,11599.20438,1183.4,507,2,0,0,3.7,72.1,Home,Loyal
CUST10001,Kochi,37,Male,29,19,25132.84,1322.78,502,2,0,3,3.5,68.7,Grocery,Champions
CUST10002,Delhi,27,Male,94,14,5034.03,359.57,715,3,0,1,4.6,53.7,Fashion,Loyal
CUST10003,Mumbai,39,Other,225,3,4587.25,1529.08,940,5,0,4,4.9,58,Home,Lost
CUST10004,Chennai,29,Male,161,9,10718.88,1190.99,456,4,0,1,4.1,53,Beauty,AtRisk
CUST10005,Chennai,26,Female,39,10,15884.35,1588.44,1332,2,1,0,3.6,65.9,Beauty,Loyal
CUST10006,Chennai,21,Male,57,16,6385.21,399.08,1188,3,1,2,4,42.3,Books,Loyal
CUST10007,Pune,18,Male,8,12,27522.95093,1320.87,999,5,3,7,4.4,80.3,Home,Loyal
CUST10008,Mumbai,30,Male,19,16,12841.33,802.58,787,5,0,2,4.6,100,Electronics,Champions
CUST10009,Delhi,36,Female,8,19,53123.38,2795.97,1202,3,2,4,4.1,53,Electronics,Champions
CUST10010,Chennai,33,Male,304,1,3331.88,3331.88,513,3,1,3,5,33.1,Home,Lost
CUST10011,Kochi,29,Female,264,2,1468.29,734.14,350,1,1,0,3.3,63,Electronics,Lost
CUST10012,Hyderabad,24,Male,23,17,26803.32,1576.67,442,3,1,5,4.7,71.3,Fashion,Champions
CUST10013,Coimbatore,41,Male,21,11,36309.82,3300.89,299,1,1,2,4.4,74.1,Electronics,Champions
CUST10014,Coimbatore,20,Female,54,12,10584.73,882.06,637,7,0,0,3.3,97.1,Books,Loyal
CUST10015,Coimbatore,43,Male,68,8,7072.53,884.07,690,2,1,1,4,81.3,Fashion,Loyal
CUST10016,Madurai,23,Female,56,12,14015.68669,1193.1,660,5,1,2,4,28.8,Electronics,Loyal
CUST10017,Mumbai,26,Female,1,11,15715.07,1428.64,596,6,5,4,3.7,40.3,Sports,Loyal
CUST10018,Bengaluru,18,Male,44,12,10247.69,853.97,640,4,2,1,3.7,73.1,Grocery,Loyal
CUST10019,Madurai,28,Female,238,1,909.26,909.26,1121,3,1,8,2.6,55.9,Electronics,Lost
CUST10020,Mumbai,45,Male,126,6,9914.55,1652.42,786,2,1,1,3.2,95.3,Beauty,AtRisk
CUST10021,Chennai,40,Male,175,1,7552.19,7552.19,877,3,2,4,3.6,46.3,Electronics,AtRisk
CUST10022,Madurai,45,Male,45,8,14882.44,1860.3,657,6,3,0,3.3,84.2,Beauty,Loyal
CUST10023,Bengaluru,40,Female,327,1,1912.1,1912.1,115,4,1,2,3.1,52,Grocery,Lost
CUST10024,Bengaluru,22,Male,233,1,2182.26,2182.26,56,4,1,3,4.6,70.2,Electronics,Lost
CUST10025,Hyderabad,30,Female,15,19,18094.71,952.35,1225,5,0,0,3.7,48.4,Home,Champions
CUST10026,Coimbatore,25,Female,59,10,2859.66,285.97,440,5,1,5,5,76.2,Grocery,Loyal
CUST10027,Mumbai,49,Female,93,6,9623.53,1603.92,415,3,0,3,4,86.5,Home,AtRisk
CUST10028,Mumbai,21,Female,18,11,35971.11,3270.1,674,4,1,2,4.6,70.1,Beauty,Champions
CUST10029,Chennai,44,Male,85,8,6717.61,839.7,765,2,0,3,3.6,100,Fashion,Loyal
CUST10030,Mumbai,44,Male,155,7,5554.45,793.49,803,3,0,1,3.3,50.6,Fashion,AtRisk
CUST10031,Chennai,54,Male,234,5,6747.91,1349.58,1132,3,0,5,4,67,Books,AtRisk
CUST10032,Chennai,29,Female,37,4,17169.64,4292.41,1050,4,2,5,4.8,81.9,Grocery,Loyal
CUST10033,Kochi,42,Other,209,6,7164.242664,874.37,357,2,1,3,3.7,46,Grocery,AtRisk
CUST10034,Kochi,59,Female,253,2,3065.62,1532.81,891,4,1,4,4.2,66.2,Fashion,Lost
CUST10035,Hyderabad,27,Female,28,13,11105.32,854.26,485,3,1,0,4,78.3,Fashion,Loyal
CUST10036,Madurai,18,Female,154,6,2774.08,462.35,559,2,3,5,3.7,83.6,Grocery,AtRisk
CUST10037,Chennai,18,Male,17,19,49246.32306,2255.83,272,3,0,2,3.8,87.8,Fashion,Champions
CUST10038,Delhi,42,Female,7,25,27517.75,1100.71,92,1,1,5,3,47.6,Fashion,Champions
CUST10039,Bengaluru,18,Female,148,3,9009.69,3003.23,591,2,1,4,3.8,70.8,Grocery,AtRisk
CUST10040,Chennai,30,Male,23,17,19912.95,1171.35,313,2,2,5,4.3,38.7,Electronics,Champions
CUST10041,Bengaluru,39,Female,14,12,13686.24982,2240.8,878,3,0,0,4,50.5,Grocery,Champions
CUST10042,Chennai,36,Male,14,17,10185.91,599.17,516,1,3,1,3.9,61.5,Home,Champions
CUST10043,Pune,39,Female,63,3,7329.25,2443.08,693,4,0,7,4.4,87.9,Electronics,AtRisk
CUST10044,Coimbatore,36,Female,143,4,6045.18,1511.3,1010,5,0,0,4,75.6,Home,AtRisk
CUST10045,Delhi,48,Female,22,5,4551.15,910.23,154,3,0,0,3.8,65.8,Fashion,Loyal
CUST10046,Madurai,24,Male,132,7,5993.83,856.26,383,4,0,3,4.4,74,Books,AtRisk
CUST10047,Mumbai,27,Female,49,10,9204.54,920.45,654,3,1,3,3.9,75.4,Books,Loyal
CUST10048,Mumbai,26,Female,110,3,2234.46,744.82,694,1,1,1,3.6,72.4,Beauty,AtRisk
CUST10049,Coimbatore,43,Male,55,11,8306.4,755.13,931,4,0,4,4.2,53.5,Fashion,Loyal
CUST10050,Kochi,44,Female,85,6,3556.31,592.72,860,5,1,4,3.8,45.9,Sports,AtRisk
CUST10051,Hyderabad,39,Female,284,3,831.28,277.09,629,2,1,2,3.6,60.5,Books,Lost
CUST10052,Kochi,47,Female,362,1,2285.49,2285.49,691,3,1,2,3.9,49.1,Grocery,Lost
CUST10053,Pune,21,Male,18,14,27696.91,1978.35,699,3,1,2,3.9,77.4,Grocery,Champions
CUST10054,Mumbai,52,Male,253,1,658.417562,470.98,159,8,2,2,2.9,95.6,Electronics,Lost
CUST10055,Kochi,51,Female,18,21,34567.74,1646.08,553,4,1,0,4.1,76.3,Electronics,Champions
CUST10056,Chennai,42,Male,312,1,2436.36,2436.36,675,1,0,3,5,28.8,Grocery,Lost
CUST10057,Coimbatore,54,Male,34,11,11336.15,1030.56,738,1,0,4,3,52.3,Grocery,Loyal
CUST10058,Chennai,18,Female,61,9,10517,1168.56,323,5,0,2,3.4,65.4,Fashion,Loyal
CUST10059,Madurai,28,Male,1,17,24512.61617,1630.23,219,7,1,0,5,36.3,Electronics,Champions
CUST10060,Bengaluru,26,Female,28,27,25726.88,952.85,530,3,2,1,3.1,65.6,Beauty,Champions
CUST10061,Coimbatore,42,Male,148,6,6840.38,1140.06,1190,3,1,4,4.8,74.4,Fashion,AtRisk
CUST10062,Hyderabad,22,Male,262,2,1892.5,946.25,354,4,0,0,3.6,93.2,Home,Lost
CUST10063,Bengaluru,42,Male,81,8,4677.22,584.65,952,2,1,4,3.8,100,Home,AtRisk
CUST10064,Madurai,49,Male,205,5,5455.72,1091.14,1075,1,1,2,3.7,41.2,Grocery,AtRisk
CUST10065,Mumbai,42,Female,365,1,2509.123598,3936.68,614,5,4,2,4.1,62.7,Electronics,Lost
CUST10066,Chennai,37,Female,54,11,12715.73,1155.98,396,3,0,1,2.5,62.9,Grocery,Loyal
CUST10067,Hyderabad,23,Male,16,24,32220.54,1342.52,754,5,0,0,3.9,50.7,Fashion,Champions
CUST10068,Chennai,25,Male,8,17,54620.69626,1931.31,658,2,4,5,3.5,67,Beauty,Champions
CUST10069,Trichy,48,Male,46,11,11722.14,1065.65,342,4,3,4,2.3,63.4,Electronics,Loyal
CUST10070,Hyderabad,43,Male,27,12,17438.96,1453.25,402,5,0,4,4.7,77.3,Fashion,Loyal
CUST10071,Coimbatore,34,Male,19,22,14720.76,669.13,736,5,0,4,2.1,92.1,Fashion,Champions
CUST10072,Chennai,29,Female,17,16,28710.58,1794.41,880,4,1,4,5,67.6,Home,Champions
CUST10073,Hyderabad,18,Female,23,18,47487.88,2638.22,503,4,2,4,4.3,55.2,Home,Champions
CUST10074,Delhi,22,Female,277,4,454,113.5,579,4,0,1,2.7,44.5,Fashion,Lost
CUST10075,Delhi,55,Male,20,16,17319.87,1082.49,801,4,2,5,4.9,100,Grocery,Champions
CUST10076,Hyderabad,20,Female,125,1,5738.36,5738.36,548,2,0,5,3.2,83.1,Fashion,AtRisk
CUST10077,Chennai,36,Female,71,6,4293.83,715.64,510,2,1,3,3.2,73,Home,AtRisk
CUST10078,Bengaluru,45,Female,99,9,3580.2,397.8,373,1,1,2,2.4,61.7,Electronics,AtRisk
CUST10079,Chennai,20,Male,22,22,27316.65,1241.67,368,5,0,0,3.1,97.2,Beauty,Champions
CUST10080,Pune,36,Female,65,15,19829.75866,913.21,1401,3,0,3,3.2,61.8,Sports,Loyal
CUST10081,Mumbai,44,Female,29,25,43533.97,1741.36,541,5,1,6,4.5,30.8,Books,Champions
CUST10082,Madurai,34,Female,1,11,13830.69,1257.34,1010,4,1,0,4.7,70.3,Beauty,Loyal
CUST10083,Chennai,66,Male,50,10,16660.63,1666.06,1105,2,0,5,2.8,40.4,Fashion,Loyal
CUST10084,Madurai,18,Male,103,6,2542.478761,328.18,545,3,1,2,4,70.4,Fashion,AtRisk
CUST10085,Madurai,46,Male,216,3,5633.7,1877.9,711,3,1,2,2.3,91.9,Electronics,AtRisk
CUST10086,Delhi,32,Male,85,3,7546.52,2515.51,631,3,1,0,4,31.5,Electronics,AtRisk
CUST10087,Delhi,42,Female,46,7,10444.92,1492.13,116,5,2,1,5,47,Electronics,Loyal
CUST10088,Pune,39,Male,57,11,8104.235938,632.04,134,7,1,4,2.4,82.3,Home,Loyal
CUST10089,Bengaluru,26,Male,298,2,3370.61,1685.3,615,5,1,4,3,55,Grocery,Lost
CUST10090,Chennai,37,Male,55,12,16827.88,1402.32,473,3,1,3,4.4,73.3,Sports,Loyal
CUST10091,Delhi,18,Male,115,3,1890.91,630.3,1167,5,1,1,4.5,73.3,Grocery,AtRisk
CUST10092,Hyderabad,41,Male,98,9,5939.88,659.99,529,6,0,0,3,82.8,Home,AtRisk
CUST10093,Mumbai,37,Female,53,9,12543.37,1393.71,1185,1,2,3,5,52.1,Fashion,Loyal
CUST10094,Hyderabad,41,Female,43,12,12557.4,1046.45,457,5,0,2,3.1,14,Beauty,Loyal
CUST10095,Bengaluru,46,Male,46,9,9466.68,1051.85,1174,5,1,3,5,72.9,Sports,Loyal
CUST10096,Mumbai,38,Male,24,22,36833.4,1674.25,752,5,1,2,4.2,33.6,Fashion,Champions
CUST10097,Bengaluru,36,Male,13,23,23892.83,1038.82,769,5,0,2,4.8,83.7,Electronics,Champions
CUST10098,Chennai,24,Male,4,23,29649.08,1289.09,446,3,0,3,4.1,64.2,Electronics,Champions
CUST10099,Chennai,26,Female,17,12,9532.58,794.38,773,7,0,3,4.3,59.1,Home,Loyal
CUST10100,Chennai,47,Female,140,4,6702.86,1675.72,1108,4,0,5,4.4,78.8,Fashion,AtRisk
CUST10101,Delhi,50,Female,262,2,296.17,148.08,557,3,2,2,4.7,30.2,Beauty,Lost
CUST10102,Madurai,31,Female,33,13,15386.89,1183.61,498,4,2,4,3.8,61,Home,Loyal
CUST10103,Mumbai,35,Male,360,1,672.79,672.79,526,5,0,6,3.1,74,Home,Lost
CUST10104,Pune,24,Female,219,1,561.7373693,322.91,1086,4,0,4,3.7,70.1,Beauty,Lost
CUST10105,Coimbatore,47,Female,178,1,2250.35,2250.35,857,4,2,5,3.3,55.2,Home,Lost
CUST10106,Bengaluru,41,Female,365,1,826.3,826.3,1034,4,0,1,3.3,55.4,Home,Lost
CUST10107,Hyderabad,55,Male,46,13,15938.62,1226.05,694,3,4,1,5,95.9,Electronics,Loyal
CUST10108,Coimbatore,24,Female,32,21,27983.11,1332.53,612,2,0,2,4.3,83.3,Grocery,Champions
CUST10109,Chennai,30,Female,99,4,3526.05,881.51,727,1,1,2,4.3,51.7,Grocery,AtRisk
CUST10110,Madurai,37,Female,74,5,9555.35,1911.07,921,6,0,5,4.7,92,Books,AtRisk
CUST10111,Chennai,41,Male,260,1,651.67,651.67,526,3,0,1,4.3,80.1,Home,Lost
CUST10112,Kochi,32,Female,359,1,2202.77,2202.77,1011,1,0,2,5,74.8,Grocery,Lost
CUST10113,Hyderabad,24,Female,112,4,5035.71,1258.93,710,4,1,5,2.1,75.5,Grocery,AtRisk
CUST10114,Delhi,44,Female,30,10,15135.29,1513.53,30,4,0,3,3,42.1,Electronics,Loyal
CUST10115,Pune,42,Female,62,7,15171.85,2167.41,865,1,1,2,3.2,95.1,Fashion,Loyal
CUST10116,Hyderabad,24,Female,13,12,22015.43,1834.62,218,2,0,3,2.7,84,Electronics,Champions
CUST10117,Coimbatore,49,Male,108,8,5746.85,718.36,858,2,0,0,3.9,69.9,Electronics,AtRisk
CUST10118,Pune,47,Female,93,3,6315.283418,1865.61,870,2,1,0,3.9,69.9,Fashion,AtRisk
CUST10119,Mumbai,35,Male,365,2,4607.067177,1225.89,699,5,0,0,5,63.2,Home,Lost
CUST10120,Hyderabad,35,Female,98,7,1573.06,224.72,763,3,0,3,4.5,53.6,Beauty,AtRisk
CUST10121,Pune,40,Male,337,3,2039.85,679.95,930,3,0,4,3.4,75.7,Beauty,Lost
CUST10122,Madurai,25,Male,167,5,8521.88,1704.38,451,5,1,4,4.2,49.1,Fashion,AtRisk
CUST10123,Chennai,34,Female,268,2,1837.78,918.89,838,4,3,5,2.3,68,Electronics,Lost
CUST10124,Coimbatore,18,Female,10,27,27405.98,1015.04,949,1,1,5,3.9,66.9,Fashion,Champions
CUST10125,Bengaluru,44,Female,297,4,3828.91,957.23,1128,3,0,3,3.9,72.7,Fashion,Lost
CUST10126,Hyderabad,18,Female,107,7,3611.2,515.89,268,4,0,2,3.1,83.8,Fashion,AtRisk
CUST10127,Pune,51,Female,1,27,25760.27,954.08,723,2,0,5,3.6,73.1,Grocery,Champions
CUST10128,Chennai,30,Male,32,8,14276.12,1784.52,312,7,0,1,3.2,78.9,Electronics,Loyal
CUST10129,Mumbai,32,Male,204,1,2145.84,2145.84,299,4,0,0,3.1,26.2,Fashion,Lost
CUST10130,Bengaluru,27,Male,18,17,28901.99,1700.12,708,2,0,2,4.3,74.2,Grocery,Champions
CUST10131,Coimbatore,31,Male,25,12,11495.99579,1043.84,623,2,0,2,4.6,66.5,Fashion,Loyal
CUST10132,Chennai,50,Female,47,17,11298.48,664.62,944,5,0,3,4.2,72.4,Home,Loyal
CUST10133,Madurai,18,Female,75,8,5408.7,676.09,496,3,0,1,3.4,54.4,Electronics,AtRisk
CUST10134,Kochi,48,Female,365,2,2805.69,1402.84,560,4,0,3,3.3,88,Electronics,Lost
