review_id,review_text,sentiment,rating,category,helpful_votes,verified,clean_text
R300000,Display cracked within a week. Buttons feel terrible. Awful.,0,1,Electronics,85,TRUE,display cracked within week buttons feel terrible awful
R300001,"Arrived early and in perfect condition Exactly as described online Outstanding customer service and the product itself is top notch. However, colors faded after first wash. material is low quality garba",1,4,Sports,76,TRUE,arrived early perfect condition exactly described online outstanding customer service product itself top notch colors faded first wash material low quality garba
R300002,Works perfectly. Easy to set up. No complaints whatsoever. Beautiful product and great build quality. Worth every rupee. Very impressed with the quality. Looks and feels premium.,1,5,Electronics,14,TRUE,works perfectly easy set complaints whatsoever beautiful product great build quality worth every rupee impressed quality looks feels premium
R300003,Outstanding customer service and the product itself is top notch. Beautiful product and great build quality. Worth every rupee.,1,5,Kitchen,27,TRUE,outstanding customer service product itself top notch beautiful product great build quality worth every rupee
R300004,Love the design. Very comfortable. Worth every penny spent.,1,5,Sports,97,TRUE,love design comfortable worth every penny spent
R300005,Terrible product. Broke after two weeks. Complete waste of money.,0,1,Electronics,40,FALSE,terrible product broke two weeks complete waste money
R300006,Best purchase this year. Does everything advertised and more. Five star product. Would buy again without any hesitation. Product works like a charm. Packaging was also very impressive.,1,5,Toys,20,TRUE,best purchase year everything advertised five star product would buy without any hesitation product works like charm packaging impressive
R300007,Love the design. Very comfortable. Worth every penny spent.,1,4,Beauty,57,TRUE,love design comfortable worth every penny spent
R300008,"Complete disaster of a product. Returned for a full refund. Overpriced garbage. Not worth even half the price listed. Avoid. However, really good product for the price. works well and feels dura",0,1,Sports,45,TRUE,complete disaster product returned full refund overpriced garbage worth even half price listed avoid really good product price works well feels dura
R300009,Outstanding customer service and the product itself is top notch. My whole family loves this. Would strongly recommend to everyone.,1,4,Beauty,55,TRUE,outstanding customer service product itself top notch whole family loves would strongly recommend everyone
R300010,Quick delivery and perfect condition Better than I expected My whole family loves this. Would strongly recommend to everyone. Absolutely love this. Best money I have ever spent. Highly recommend!,1,5,Kitchen,48,TRUE,quick delivery perfect condition better expected whole family loves would strongly recommend everyone absolutely love best money ever spent highly recommend
R300011,Seller sent wrong item Customer service ignored all my emails worst purchase ever. cheap quality and terrible customer service. Waste of money. Product arrived with missing parts. Terrible.,0,1,Electronics,37,TRUE,seller sent wrong item customer service ignored emails worst purchase ever cheap quality terrible customer service waste money product arrived missing parts terrible
R300012,Great value. Solid construction. Very happy with this item overall. good quality materials. solid build. would recommend to friends.,1,5,Sports,29,TRUE,great value solid construction happy item overall good quality materials solid build would recommend friends
R300013,best purchase this year. does everything advertised and more. Very impressed with the quality. Looks and feels premium. My whole family loves this. Would strongly recommend to everyone.,1,5,Electronics,97,FALSE,best purchase year everything advertised impressed quality looks feels premium whole family loves would strongly recommend everyone
R300014,Impressed by the durability. Still working perfectly after months. Perfect gift. Arrived on time and well packaged. Very satisfied. Fantastic product. Very well made. Delivery was quick too.,1,4,Kitchen,73,TRUE,impressed durability still working perfectly months perfect gift arrived time well packaged satisfied fantastic product well made delivery quick
R300015,customer service useless. product defective. no refund offered. Overpriced garbage. Not worth even half the price listed. Avoid. Display cracked within a week. Buttons feel terrible. Awful.,0,2,Kitchen,68,TRUE,customer service useless product defective refund offered overpriced garbage worth even half price listed avoid display cracked within week buttons feel terrible awful
R300016,"Amazing product, exceeded all my expectations. 5 stars easily. Really good product for the price. Works well and feels durable. Great product! Works exactly as described. Very happy with purchase.",1,4,Kitchen,91,TRUE,amazing product exceeded expectations stars easily really good product price works well feels durable great product works exactly described happy purchase
R300017,Falls apart after one use. Extremely fragile and overpriced.,0,1,Clothing,84,TRUE,falls apart one use extremely fragile overpriced
R300018,"Broke on day one. Instructions make no sense. Very frustrating. However, five star product. would buy again without any hesitation.",0,2,Sports,14,TRUE,broke day one instructions make sense frustrating five star product would buy without any hesitation
R300019,do not buy this. stopped working immediately after first use.,0,1,Clothing,9,TRUE,buy stopped working immediately first use
R300020,Worst purchase ever. Cheap quality and terrible customer service.,0,2,Clothing,80,TRUE,worst purchase ever cheap quality terrible customer service
R300021,Great product! Works exactly as described. Very happy with purchase. Perfect gift. Arrived on time and well packaged. Very satisfied. Perfect gift. Arrived on time and well packaged. Very satisfied.,1,4,Books,82,TRUE,great product works exactly described happy purchase perfect gift arrived time well packaged satisfied perfect gift arrived time well packaged satisfied
R300022,Perfect gift. Arrived on time and well packaged. Very satisfied. Impressed by the durability. Still working perfectly after months. Works perfectly. Easy to set up. No complaints whatsoever.,1,5,Electronics,15,TRUE,perfect gift arrived time well packaged satisfied impressed durability still working perfectly months works perfectly easy set complaints whatsoever
R300023,Complete junk. Returned immediately. Save your money people. complete junk. returned immediately. save your money people. Complete disaster of a product. Returned for a full refund.,0,2,Electronics,61,FALSE,complete junk returned immediately save money people complete junk returned immediately save money people complete disaster product returned full refund
R300024,Very impressed with the quality. Looks and feels premium. very impressed with the quality. looks and feels premium. Quick delivery and perfect condition. Better than I expected.,1,5,Sports,53,FALSE,impressed quality looks feels premium impressed quality looks feels premium quick delivery perfect condition better expected
R300025,Worst purchase ever. Cheap quality and terrible customer service. Absolute rubbish. Nothing like the photos. Very disappointed.,0,2,Kitchen,55,TRUE,worst purchase ever cheap quality terrible customer service absolute rubbish nothing like photos disappointed
R300026,Great value Solid construction Very happy with this item overall Works perfectly. Easy to set up. No complaints whatsoever.,1,4,Clothing,54,TRUE,great value solid construction happy item overall works perfectly easy set complaints whatsoever
R300027,"Falls apart after one use. Extremely fragile and overpriced. Extremely disappointed. Does not work as advertised at all. Extremely disappointed Does not work as advertised at all However, fantastic product. very well made. delivery was quick too.",0,1,Kitchen,58,TRUE,falls apart one use extremely fragile overpriced extremely disappointed work advertised extremely disappointed work advertised fantastic product well made delivery quick
R300028,Terrible product. Broke after two weeks. Complete waste of money.,0,1,Electronics,43,FALSE,terrible product broke two weeks complete waste money
R300029,Complete disaster of a product. Returned for a full refund.,0,1,Kitchen,77,TRUE,complete disaster product returned full refund
R300030,Perfect gift. Arrived on time and well packaged. Very satisfied. Very impressed with the quality. Looks and feels premium.,1,4,Toys,68,FALSE,perfect gift arrived time well packaged satisfied impressed quality looks feels premium
R300031,Works perfectly. Easy to set up. No complaints whatsoever.,1,5,Kitchen,69,TRUE,works perfectly easy set complaints whatsoever
R300032,Beautiful product and great build quality. Worth every rupee.,1,5,Sports,25,TRUE,beautiful product great build quality worth every rupee
R300033,Product works like a charm. Packaging was also very impressive. Superb value for money. Product is exactly what I needed. Very impressed with the quality. Looks and feels premium.,1,5,Beauty,17,TRUE,product works like charm packaging impressive superb value money product exactly needed impressed quality looks feels premium
R300034,Arrived damaged. Looks nothing like the listing photos at all. Extremely disappointed. Does not work as advertised at all. Terrible product. Broke after two weeks. Complete waste of money.,0,1,Kitchen,76,TRUE,arrived damaged looks nothing like listing photos extremely disappointed work advertised terrible product broke two weeks complete waste money
R300035,Superb value for money. Product is exactly what I needed.,1,5,Electronics,35,FALSE,superb value money product exactly needed
R300036,Beautiful product and great build quality. Worth every rupee.,1,4,Electronics,96,TRUE,beautiful product great build quality worth every rupee
R300037,"amazing product, exceeded all my expectations. 5 stars easily.",1,5,Books,80,TRUE,amazing product exceeded expectations stars easily
R300038,Quick delivery and perfect condition. Better than I expected. love the design. very comfortable. worth every penny spent. Works perfectly Easy to set up No complaints whatsoever,1,5,Toys,68,FALSE,quick delivery perfect condition better expected love design comfortable worth every penny spent works perfectly easy set complaints whatsoever
R300039,Colors faded after first wash. Material is low quality garbage. Misleading photos Product much smaller than shown Total scam,0,1,Sports,29,FALSE,colors faded first wash material low quality garbage misleading photos product much smaller shown total scam
R300040,quick delivery and perfect condition. better than i expected.,1,4,Beauty,61,TRUE,quick delivery perfect condition better expected
R300041,Great value. Solid construction. Very happy with this item overall. Outstanding customer service and the product itself is top notch.,1,5,Books,29,FALSE,great value solid construction happy item overall outstanding customer service product itself top notch
R300042,Display cracked within a week. Buttons feel terrible. Awful. Appalling quality. Would not recommend to my worst enemy. Stopped charging after three days. Flimsy build. Total junk.,0,1,Clothing,58,TRUE,display cracked within week buttons feel terrible awful appalling quality would recommend worst enemy stopped charging three days flimsy build total junk
R300043,"Very impressed with the quality. Looks and feels premium. However, absolute rubbish. nothing like the photos. very disappointed",1,5,Toys,3,TRUE,impressed quality looks feels premium absolute rubbish nothing like photos disappointed
R300044,"Display cracked within a week. Buttons feel terrible. Awful. Misleading photos. Product much smaller than shown. Total scam. Horrible smell, cheap material, nothing like the description.",0,1,Clothing,67,TRUE,display cracked within week buttons feel terrible awful misleading photos product much smaller shown total scam horrible smell cheap material nothing like description
R300045,very impressed with the quality. looks and feels premium. Battery life is excellent. Much better than I expected honestly. works perfectly. easy to set up. no complaints whatsoever.,1,5,Clothing,70,FALSE,impressed quality looks feels premium battery life excellent much better expected honestly works perfectly easy set complaints whatsoever
R300046,Fantastic product. Very well made. Delivery was quick too. Superb value for money. Product is exactly what I needed. Impressed by the durability Still working perfectly after months,1,4,Clothing,8,FALSE,fantastic product well made delivery quick superb value money product exactly needed impressed durability still working perfectly months
R300047,"Amazing product, exceeded all my expectations. 5 stars easily. Really good product for the price. Works well and feels durable.",1,5,Clothing,3,FALSE,amazing product exceeded expectations stars easily really good product price works well feels durable
R300048,Five star product. Would buy again without any hesitation.,1,4,Sports,95,FALSE,five star product would buy without any hesitation
R300049,Excellent quality and fast shipping. Will definitely buy again. Very impressed with the quality. Looks and feels premium. Product works like a charm. Packaging was also very impressive.,1,5,Sports,30,TRUE,excellent quality fast shipping definitely buy impressed quality looks feels premium product works like charm packaging impressive
R300050,Great value Solid construction Very happy with this item overall Absolutely love this. Best money I have ever spent. Highly recommend!,1,4,Clothing,88,TRUE,great value solid construction happy item overall absolutely love best money ever spent highly recommend
R300051,"Very poor quality. Feels cheap and flimsy. Falls apart easily. Customer service useless Product defective No refund offered Customer service useless. Product defective. No refund offered. However, battery life is excellent. much better than i expected hones",0,2,Kitchen,62,TRUE,poor quality feels cheap flimsy falls apart easily customer service useless product defective refund offered customer service useless product defective refund offered battery life excellent much better expected hones
R300052,"Amazing product, exceeded all my expectations. 5 stars easily. Amazing product, exceeded all my expectations. 5 stars easily.",1,5,Sports,61,TRUE,amazing product exceeded expectations stars easily amazing product exceeded expectations stars easily
R300053,Misleading photos Product much smaller than shown Total scam,0,1,Beauty,37,TRUE,misleading photos product much smaller shown total scam
R300054,Outstanding customer service and the product itself is top notch. Perfect gift. Arrived on time and well packaged. Very satisfied. Really good product for the price. Works well and feels durable.,1,4,Books,23,TRUE,outstanding customer service product itself top notch perfect gift arrived time well packaged satisfied really good product price works well feels durable
R300055,Absolute trash. Listed features are completely false advertising.,0,2,Sports,72,TRUE,absolute trash listed features completely false advertising
R300056,"Perfect gift. Arrived on time and well packaged. Very satisfied. Amazing product, exceeded all my expectations 5 stars easily",1,5,Beauty,18,TRUE,perfect gift arrived time well packaged satisfied amazing product exceeded expectations stars easily
R300057,Complete junk. Returned immediately. Save your money people. Broke immediately after unboxing. Do not waste your money here.,0,2,Kitchen,64,TRUE,complete junk returned immediately save money people broke immediately unboxing waste money
R300058,really good product for the price. works well and feels durable. Great product! Works exactly as described. Very happy with purchase. Fantastic product. Very well made. Delivery was quick too.,1,5,Toys,65,FALSE,really good product price works well feels durable great product works exactly described happy purchase fantastic product well made delivery quick
R300059,Excellent quality and fast shipping. Will definitely buy again. Best purchase this year. Does everything advertised and more.,1,4,Beauty,95,TRUE,excellent quality fast shipping definitely buy best purchase year everything advertised
R300060,"Best purchase this year. Does everything advertised and more. Incredible value. Sturdy and well designed. Love it so much. However, customer service useless. product defective. no refund offer",1,5,Beauty,33,TRUE,best purchase year everything advertised incredible value sturdy well designed love much customer service useless product defective refund offer
R300061,Stopped charging after three days. Flimsy build. Total junk. falls apart after one use. extremely fragile and overpriced.,0,2,Books,43,TRUE,stopped charging three days flimsy build total junk falls apart one use extremely fragile overpriced
R300062,Overpriced garbage. Not worth even half the price listed. Avoid. Broke on day one. Instructions make no sense. Very frustrating. Arrived damaged. Looks nothing like the listing photos at all.,0,1,Kitchen,63,TRUE,overpriced garbage worth even half price listed avoid broke day one instructions make sense frustrating arrived damaged looks nothing like listing photos
R300063,"Arrived early and in perfect condition. Exactly as described online. amazing product, exceeded all my expectations. 5 stars easily. Absolutely love this. Best money I have ever spent. Highly recommend!",1,4,Sports,87,FALSE,arrived early perfect condition exactly described online amazing product exceeded expectations stars easily absolutely love best money ever spent highly recommend
R300064,perfect gift. arrived on time and well packaged. very satisfied.,1,5,Kitchen,22,FALSE,perfect gift arrived time well packaged satisfied
R300065,Terrible product. Broke after two weeks. Complete waste of money.,0,1,Electronics,28,TRUE,terrible product broke two weeks complete waste money
R300066,"Perfect gift. Arrived on time and well packaged. Very satisfied. Quick delivery and perfect condition. Better than I expected. Amazing product, exceeded all my expectations. 5 stars easily.",1,4,Electronics,83,TRUE,perfect gift arrived time well packaged satisfied quick delivery perfect condition better expected amazing product exceeded expectations stars easily
R300067,horrible experience. product useless and support nonexistent.,0,2,Electronics,97,FALSE,horrible experience product useless support nonexistent
R300068,"Horrible smell, cheap material, nothing like the description. Waste of money. Product arrived with missing parts. Terrible. Very poor quality. Feels cheap and flimsy. Falls apart easily.",0,2,Kitchen,35,TRUE,horrible smell cheap material nothing like description waste money product arrived missing parts terrible poor quality feels cheap flimsy falls apart easily
R300069,Perfect gift. Arrived on time and well packaged. Very satisfied.,1,5,Toys,30,TRUE,perfect gift arrived time well packaged satisfied
R300070,Beautiful product and great build quality. Worth every rupee. Product works like a charm. Packaging was also very impressive.,1,4,Beauty,77,FALSE,beautiful product great build quality worth every rupee product works like charm packaging impressive
R300071,excellent quality and fast shipping. will definitely buy again.,1,5,Clothing,88,TRUE,excellent quality fast shipping definitely buy
R300072,impressed by the durability. still working perfectly after months. Great value. Solid construction. Very happy with this item overall.,1,5,Books,47,FALSE,impressed durability still working perfectly months great value solid construction happy item overall
R300073,Superb value for money. Product is exactly what I needed. Works perfectly. Easy to set up. No complaints whatsoever.,1,5,Electronics,58,TRUE,superb value money product exactly needed works perfectly easy set complaints whatsoever
R300074,Great product! Works exactly as described. Very happy with purchase.,1,5,Electronics,69,TRUE,great product works exactly described happy purchase
R300075,Customer service useless. Product defective. No refund offered. Appalling quality. Would not recommend to my worst enemy. Cheap plastic that smells awful. Nothing like the description.,0,1,Kitchen,57,TRUE,customer service useless product defective refund offered appalling quality would recommend worst enemy cheap plastic smells awful nothing like description
R300076,"Good quality materials. Solid build. Would recommend to friends. However, overpriced garbage. not worth even half the price listed. av",1,5,Electronics,54,FALSE,good quality materials solid build would recommend friends overpriced garbage worth even half price listed
R300077,Display cracked within a week. Buttons feel terrible. Awful. Complete disaster of a product. Returned for a full refund. Extremely disappointed. Does not work as advertised at all.,0,1,Beauty,43,TRUE,display cracked within week buttons feel terrible awful complete disaster product returned full refund extremely disappointed work advertised
R300078,"Horrible smell, cheap material, nothing like the description.",0,1,Kitchen,39,FALSE,horrible smell cheap material nothing like description
R300079,"Best purchase this year. Does everything advertised and more. Great value. Solid construction. Very happy with this item overall. However, worst purchase ever. cheap quality and terrible customer ser",1,5,Kitchen,21,TRUE,best purchase year everything advertised great value solid construction happy item overall worst purchase ever cheap quality terrible customer ser
R300080,Display cracked within a week. Buttons feel terrible. Awful. Broke on day one. Instructions make no sense. Very frustrating.,0,1,Electronics,3,TRUE,display cracked within week buttons feel terrible awful broke day one instructions make sense frustrating
R300081,"Amazing product, exceeded all my expectations. 5 stars easily. Five star product. Would buy again without any hesitation. Perfect gift. Arrived on time and well packaged. Very satisfied.",1,5,Clothing,97,FALSE,amazing product exceeded expectations stars easily five star product would buy without any hesitation perfect gift arrived time well packaged satisfied
R300082,Absolutely love this. Best money I have ever spent. Highly recommend!,1,5,Books,32,TRUE,absolutely love best money ever spent highly recommend
R300083,Best purchase this year Does everything advertised and more Arrived early and in perfect condition. Exactly as described online.,1,5,Books,75,TRUE,best purchase year everything advertised arrived early perfect condition exactly described online
R300084,Great product! Works exactly as described. Very happy with purchase. Five star product. Would buy again without any hesitation. Perfect gift. Arrived on time and well packaged. Very satisfied.,1,5,Clothing,79,TRUE,great product works exactly described happy purchase five star product would buy without any hesitation perfect gift arrived time well packaged satisfied
R300085,Works perfectly Easy to set up No complaints whatsoever Five star product. Would buy again without any hesitation.,1,4,Beauty,79,TRUE,works perfectly easy set complaints whatsoever five star product would buy without any hesitation
R300086,Love the design. Very comfortable. Worth every penny spent.,1,5,Beauty,20,TRUE,love design comfortable worth every penny spent
R300087,"Amazing product, exceeded all my expectations. 5 stars easily. Great value. Solid construction. Very happy with this item overall. Outstanding customer service and the product itself is top notch",1,5,Clothing,80,TRUE,amazing product exceeded expectations stars easily great value solid construction happy item overall outstanding customer service product itself top notch
R300088,Complete disaster of a product. Returned for a full refund.,0,1,Books,48,TRUE,complete disaster product returned full refund
R300089,Appalling quality. Would not recommend to my worst enemy. Worst purchase ever Cheap quality and terrible customer service,0,2,Books,73,TRUE,appalling quality would recommend worst enemy worst purchase ever cheap quality terrible customer service
