,ds,demand_mw,temperature,hour,dayofweek,month,is_weekend
2018-01-01 00:00:00,2018-01-01 00:00:00,21233.853553519686,3.534045745504719,0,0,1,0
2018-01-01 01:00:00,2018-01-01 01:00:00,23328.795796435108,1.1723627342571248,1,0,1,0
2018-01-01 02:00:00,2018-01-01 02:00:00,22375.308909536674,2.4159305529408828,2,0,1,0
2018-01-01 03:00:00,2018-01-01 03:00:00,21380.657530652978,3.9852004148816054,3,0,1,0
2018-01-01 04:00:00,2018-01-01 04:00:00,26000.0,-0.8822682976221197,4,0,1,0
2018-01-01 05:00:00,2018-01-01 05:00:00,26000.0,-1.1796749653494634,5,0,1,0
2018-01-01 06:00:00,2018-01-01 06:00:00,22806.393300217776,3.253738821085361,6,0,1,0
2018-01-01 07:00:00,2018-01-01 07:00:00,24878.09250836572,1.328786322671121,7,0,1,0
2018-01-01 08:00:00,2018-01-01 08:00:00,26000.0,-1.461506682448819,8,0,1,0
2018-01-01 09:00:00,2018-01-01 09:00:00,25275.554237492965,1.547622091809023,9,0,1,0
2018-01-01 10:00:00,2018-01-01 10:00:00,26000.0,-0.34370675656434546,10,0,1,0
2018-01-01 11:00:00,2018-01-01 11:00:00,25440.958990778894,0.37635942051869664,11,0,1,0
2018-01-01 12:00:00,2018-01-01 12:00:00,22976.044556004188,2.9243583969906917,12,0,1,0
2018-01-01 13:00:00,2018-01-01 13:00:00,26000.0,-1.6849706670866982,13,0,1,0
2018-01-01 14:00:00,2018-01-01 14:00:00,26000.0,-0.48819336919875367,14,0,1,0
2018-01-01 15:00:00,2018-01-01 15:00:00,22173.838985731265,3.0420394458373723,15,0,1,0
2018-01-01 16:00:00,2018-01-01 16:00:00,23755.218039711166,2.39478135845598,16,0,1,0
2018-01-01 17:00:00,2018-01-01 17:00:00,19547.45696887679,6.0145320889101415,17,0,1,0
2018-01-01 18:00:00,2018-01-01 18:00:00,22928.10835573512,3.0634377272161775,18,0,1,0
2018-01-01 19:00:00,2018-01-01 19:00:00,24435.289791093837,1.7028860846477616,19,0,1,0
2018-01-01 20:00:00,2018-01-01 20:00:00,18072.228951424437,8.600444240293115,20,0,1,0
2018-01-01 21:00:00,2018-01-01 21:00:00,20824.630909049865,3.89751224969206,21,0,1,0
2018-01-01 22:00:00,2018-01-01 22:00:00,21488.141019449395,4.011848021751013,22,0,1,0
2018-01-01 23:00:00,2018-01-01 23:00:00,26000.0,-0.43998266677318965,23,0,1,0
2018-01-02 00:00:00,2018-01-02 00:00:00,24156.991083109282,0.9868853050662239,0,1,1,0
2018-01-02 01:00:00,2018-01-02 01:00:00,23396.342629795305,1.8511112065382753,1,1,1,0
2018-01-02 02:00:00,2018-01-02 02:00:00,26000.0,-2.0247940277700436,2,1,1,0
2018-01-02 03:00:00,2018-01-02 03:00:00,23336.834752119285,1.1730509620799123,3,1,1,0
2018-01-02 04:00:00,2018-01-02 04:00:00,26000.0,-1.7421020378618595,4,1,1,0
2018-01-02 05:00:00,2018-01-02 05:00:00,26000.0,-1.266988023281347,5,1,1,0
2018-01-02 06:00:00,2018-01-02 06:00:00,26000.0,-2.1417814767165844,6,1,1,0
2018-01-02 07:00:00,2018-01-02 07:00:00,21904.952763793004,4.0978725507927205,7,1,1,0
2018-01-02 08:00:00,2018-01-02 08:00:00,26000.0,-0.2643869008058187,8,1,1,0
2018-01-02 09:00:00,2018-01-02 09:00:00,26000.0,-2.39567920135121,9,1,1,0
2018-01-02 10:00:00,2018-01-02 10:00:00,23125.77679993101,2.9287751239858597,10,1,1,0
2018-01-02 11:00:00,2018-01-02 11:00:00,26000.0,-1.4536507517351753,11,1,1,0
2018-01-02 12:00:00,2018-01-02 12:00:00,23279.14276243237,2.899585445140475,12,1,1,0
2018-01-02 13:00:00,2018-01-02 13:00:00,26000.0,-1.7427724845680688,13,1,1,0
2018-01-02 14:00:00,2018-01-02 14:00:00,26000.0,0.5620080815452599,14,1,1,0
2018-01-02 15:00:00,2018-01-02 15:00:00,21067.977014449018,4.998482431465102,15,1,1,0
2018-01-02 16:00:00,2018-01-02 16:00:00,19490.820563328212,6.831795733186809,16,1,1,0
2018-01-02 17:00:00,2018-01-02 17:00:00,20143.612579896282,5.716303605163378,17,1,1,0
2018-01-02 18:00:00,2018-01-02 18:00:00,20325.850007864516,5.103545345379613,18,1,1,0
2018-01-02 19:00:00,2018-01-02 19:00:00,21273.118297306773,4.540253194510311,19,1,1,0
2018-01-02 20:00:00,2018-01-02 20:00:00,25191.214435474954,1.2995833672345523,20,1,1,0
2018-01-02 21:00:00,2018-01-02 21:00:00,22828.373918028963,2.722107404149458,21,1,1,0
2018-01-02 22:00:00,2018-01-02 22:00:00,22837.21431479062,2.751394375218942,22,1,1,0
2018-01-02 23:00:00,2018-01-02 23:00:00,19654.049588551352,5.824855994447564,23,1,1,0
2018-01-03 00:00:00,2018-01-03 00:00:00,21600.12556522334,3.2672492770838684,0,2,1,0
2018-01-03 01:00:00,2018-01-03 01:00:00,26000.0,-2.7732354437270086,1,2,1,0
2018-01-03 02:00:00,2018-01-03 02:00:00,22646.221057387447,1.7236587962084209,2,2,1,0
2018-01-03 03:00:00,2018-01-03 03:00:00,26000.0,-0.6679421145850948,3,2,1,0
2018-01-03 04:00:00,2018-01-03 04:00:00,26000.0,-1.8716539616029024,4,2,1,0
2018-01-03 05:00:00,2018-01-03 05:00:00,24781.04197906295,1.052792076098301,5,2,1,0
