customer_id,city,age_group,category,order_value_inr,num_items,recency_days,rating,discount_pct
CUST_0001,Mumbai,18-25,Electronics,156.08,7,8,3,30
CUST_0002,Kolkata,36-45,Groceries,50.0,1,56,4,0
CUST_0003,Hyderabad,18-25,Home Decor,135.18,10,8,4,0
CUST_0004,Bangalore,36-45,Books,60.39,9,12,4,25
CUST_0005,Chennai,26-35,Home Decor,336.52,4,30,3,10
CUST_0006,Chennai,18-25,Books,50.0,3,110,5,10
CUST_0007,Chennai,36-45,Books,148.56,4,10,4,10
CUST_0008,Pune,26-35,Home Decor,130.44,4,7,5,0
CUST_0009,Bangalore,55+,Electronics,309.72,10,64,1,15
CUST_0010,Hyderabad,26-35,Groceries,50.0,11,31,4,15
CUST_0011,Chennai,26-35,Electronics,50.0,2,109,4,5
CUST_0012,Kolkata,36-45,Sports,255.62,1,7,4,5
CUST_0013,Pune,26-35,Sports,227.23,10,46,2,20
CUST_0014,Mumbai,46-55,Electronics,251.56,1,11,5,0
CUST_0015,Chennai,26-35,Books,50.0,8,7,3,20
CUST_0016,Chennai,26-35,Sports,190.42,2,51,5,0
CUST_0017,Mumbai,18-25,Electronics,90.26,10,40,5,10
CUST_0018,Delhi,26-35,Groceries,50.0,5,63,4,25
CUST_0019,Delhi,46-55,Sports,237.91,4,16,5,15
CUST_0020,Mumbai,36-45,Electronics,115.51,8,26,4,5
CUST_0021,Bangalore,26-35,Books,56.92,2,23,4,15
CUST_0022,Chennai,26-35,Fashion,50.0,10,186,5,5
CUST_0023,Mumbai,36-45,Sports,183.02,9,15,4,0
CUST_0024,Mumbai,46-55,Sports,122.48,7,15,4,30
CUST_0025,Delhi,18-25,Sports,50.0,7,19,5,15
CUST_0026,Hyderabad,26-35,Groceries,137.14,1,37,4,10
CUST_0027,Chennai,26-35,Home Decor,90.03,2,13,4,5
CUST_0028,Delhi,46-55,Home Decor,84.74,4,111,4,0
CUST_0029,Bangalore,18-25,Fashion,126.82,4,13,5,0
CUST_0030,Chennai,18-25,Home Decor,406.14,11,101,5,10
CUST_0031,Bangalore,36-45,Electronics,139.78,3,4,4,15
CUST_0032,Chennai,18-25,Groceries,56.74,7,48,4,10
CUST_0033,Chennai,26-35,Electronics,28758.64,8,106,5,20
CUST_0034,Kolkata,26-35,Electronics,16771.79,2,8,2,0
CUST_0035,Kolkata,26-35,Electronics,362.82,4,155,3,5
CUST_0036,Hyderabad,26-35,Books,50.0,3,27,5,0
CUST_0037,Mumbai,26-35,Fashion,55.71,2,131,5,5
CUST_0038,Chennai,18-25,Books,50.0,6,50,5,0
CUST_0039,Bangalore,36-45,Electronics,133.63,4,16,4,25
CUST_0040,Delhi,36-45,Fashion,50.0,6,9,2,0
CUST_0041,Chennai,36-45,Groceries,76.59,2,16,4,25
CUST_0042,Delhi,18-25,Home Decor,333.93,4,4,3,5
CUST_0043,Chennai,18-25,Fashion,50.0,11,6,4,30
CUST_0044,Pune,26-35,Groceries,50.0,6,4,5,10
