date,day_of_week,is_weekend,hour,shift,calls_received,calls_abandoned,calls_resolved,total_call_duration_min,avg_wait_time_min,base_lambda,abandon_rate,resolution_rate
1/1/2024,Mon,FALSE,0,Night,6,1,4,31.4,0.13,8.4,0.167,0.667
1/1/2024,Mon,FALSE,1,Night,5,0,5,18,0.02,5.6,0,1
1/1/2024,Mon,FALSE,2,Night,2,1,0,9.1,0.03,4.2,0.5,0
1/1/2024,Mon,FALSE,3,Night,3,0,2,7.9,0.19,3.36,0,0.667
1/1/2024,Mon,FALSE,4,Night,8,0,8,21,0.53,4.2,0,1
1/1/2024,Mon,FALSE,5,Night,4,1,2,14.9,0.08,8.4,0.25,0.5
1/1/2024,Mon,FALSE,6,Morning,25,1,23,90.6,0.12,19.6,0.04,0.92
1/1/2024,Mon,FALSE,7,Morning,27,4,19,141.1,0.7,30.8,0.148,0.704
1/1/2024,Mon,FALSE,8,Morning,42,2,38,170.3,2.49,42,0.048,0.905
1/1/2024,Mon,FALSE,9,Morning,45,6,31,182.6,4.11,50.4,0.133,0.689
1/1/2024,Mon,FALSE,10,Morning,51,8,34,261.1,0.63,58.8,0.157,0.667
1/1/2024,Mon,FALSE,11,Morning,56,3,45,204.1,4.52,56,0.054,0.804
1/1/2024,Mon,FALSE,12,Morning,58,4,46,294.4,5.52,44.8,0.069,0.793
1/1/2024,Mon,FALSE,13,Morning,54,4,47,284.3,2.77,47.6,0.074,0.87
1/1/2024,Mon,FALSE,14,Evening,59,4,47,394.1,4.9,56,0.068,0.797
1/1/2024,Mon,FALSE,15,Evening,56,2,46,204,0.54,53.2,0.036,0.821
1/1/2024,Mon,FALSE,16,Evening,47,3,38,163,1.25,47.6,0.064,0.809
1/1/2024,Mon,FALSE,17,Evening,37,3,30,155.6,0.52,39.2,0.081,0.811
1/1/2024,Mon,FALSE,18,Evening,30,0,27,151.5,1.79,30.8,0,0.9
1/1/2024,Mon,FALSE,19,Evening,23,1,18,103.7,0.74,25.2,0.043,0.783
1/1/2024,Mon,FALSE,20,Night,16,0,14,71.4,0.45,19.6,0,0.875
1/1/2024,Mon,FALSE,21,Night,15,3,10,78.8,1.13,16.8,0.2,0.667
1/1/2024,Mon,FALSE,22,Night,15,2,9,82.2,0.45,14,0.133,0.6
1/1/2024,Mon,FALSE,23,Night,10,2,7,32.7,0.4,11.2,0.2,0.7
1/2/2024,Tue,FALSE,0,Night,6,0,6,40.8,1.51,8.41,0,1
1/2/2024,Tue,FALSE,1,Night,2,0,2,7,0.27,5.6,0,1
1/2/2024,Tue,FALSE,2,Night,4,0,3,21.3,0.17,4.2,0,0.75
1/2/2024,Tue,FALSE,3,Night,0,0,0,0,0,3.36,0,0
1/2/2024,Tue,FALSE,4,Night,3,0,3,5.6,0.53,4.2,0,1
1/2/2024,Tue,FALSE,5,Night,8,1,7,18.2,0.36,8.41,0.125,0.875
1/2/2024,Tue,FALSE,6,Morning,17,1,14,73.5,1.55,19.62,0.059,0.824
1/2/2024,Tue,FALSE,7,Morning,27,4,16,100.5,0.21,30.83,0.148,0.593
1/2/2024,Tue,FALSE,8,Morning,44,3,37,183.8,2.22,42.03,0.068,0.841
1/2/2024,Tue,FALSE,9,Morning,65,6,47,339.5,0.37,50.44,0.092,0.723
1/2/2024,Tue,FALSE,10,Morning,57,8,43,279.8,3.85,58.85,0.14,0.754
1/2/2024,Tue,FALSE,11,Morning,51,6,38,280.3,0.61,56.05,0.118,0.745
1/2/2024,Tue,FALSE,12,Morning,50,1,44,255.3,4.07,44.84,0.02,0.88
1/2/2024,Tue,FALSE,13,Morning,46,3,41,152.2,7.66,47.64,0.065,0.891
1/2/2024,Tue,FALSE,14,Evening,61,4,47,315.3,0.88,56.05,0.066,0.77
1/2/2024,Tue,FALSE,15,Evening,62,3,48,262.4,0.94,53.24,0.048,0.774
1/2/2024,Tue,FALSE,16,Evening,37,3,27,223.1,2.94,47.64,0.081,0.73
1/2/2024,Tue,FALSE,17,Evening,37,4,29,141.3,1.03,39.23,0.108,0.784
1/2/2024,Tue,FALSE,18,Evening,27,2,23,113.3,4.43,30.83,0.074,0.852
1/2/2024,Tue,FALSE,19,Evening,33,1,26,142.4,0.63,25.22,0.03,0.788
1/2/2024,Tue,FALSE,20,Night,12,2,10,38.5,0.6,19.62,0.167,0.833
1/2/2024,Tue,FALSE,21,Night,15,4,9,57.6,2.09,16.81,0.267,0.6
1/2/2024,Tue,FALSE,22,Night,21,1,19,106.5,0.65,14.01,0.048,0.905
1/2/2024,Tue,FALSE,23,Night,12,2,9,88.4,0.07,11.21,0.167,0.75
1/3/2024,Wed,FALSE,0,Night,12,0,11,47.2,0.38,8.41,0,0.917
1/3/2024,Wed,FALSE,1,Night,5,0,4,32.4,1.81,5.61,0,0.8
1/3/2024,Wed,FALSE,2,Night,2,0,2,5.6,0.24,4.21,0,1
1/3/2024,Wed,FALSE,3,Night,6,0,4,22,0.39,3.37,0,0.667
1/3/2024,Wed,FALSE,4,Night,0,0,0,0,0,4.21,0,0
1/3/2024,Wed,FALSE,5,Night,5,0,5,39.8,0.44,8.41,0,1
1/3/2024,Wed,FALSE,6,Morning,13,1,9,59.9,0.58,19.63,0.077,0.692
1/3/2024,Wed,FALSE,7,Morning,34,2,26,119.8,0.21,30.85,0.059,0.765
1/3/2024,Wed,FALSE,8,Morning,61,6,47,308,3.85,42.07,0.098,0.77
1/3/2024,Wed,FALSE,9,Morning,60,6,49,261.2,2.88,50.48,0.1,0.817
1/3/2024,Wed,FALSE,10,Morning,57,4,47,242.8,6.93,58.9,0.07,0.825
1/3/2024,Wed,FALSE,11,Morning,42,1,39,193.1,8.35,56.09,0.024,0.929
1/3/2024,Wed,FALSE,12,Morning,48,3,38,224.4,8.33,44.87,0.062,0.792
1/3/2024,Wed,FALSE,13,Morning,39,2,30,184.6,6.54,47.68,0.051,0.769
1/3/2024,Wed,FALSE,14,Evening,45,2,38,210.5,0.19,56.09,0.044,0.844
1/3/2024,Wed,FALSE,15,Evening,48,3,36,228.6,1.59,53.29,0.062,0.75
1/3/2024,Wed,FALSE,16,Evening,46,4,34,147.2,1.58,47.68,0.087,0.739
1/3/2024,Wed,FALSE,17,Evening,39,3,30,167.3,6.37,39.27,0.077,0.769
1/3/2024,Wed,FALSE,18,Evening,35,5,29,131.7,0.37,30.85,0.143,0.829
1/3/2024,Wed,FALSE,19,Evening,32,1,30,130.5,1.83,25.24,0.031,0.938
1/3/2024,Wed,FALSE,20,Night,17,1,14,58.8,1.34,19.63,0.059,0.824
1/3/2024,Wed,FALSE,21,Night,12,1,10,58.4,4.39,16.83,0.083,0.833
1/3/2024,Wed,FALSE,22,Night,20,2,14,96.1,0.95,14.02,0.1,0.7
1/3/2024,Wed,FALSE,23,Night,10,1,8,58,0.63,11.22,0.1,0.8
1/4/2024,Thu,FALSE,0,Night,8,0,6,58.9,0.01,8.42,0,0.75
1/4/2024,Thu,FALSE,1,Night,10,1,9,45.8,0.16,5.61,0.1,0.9
1/4/2024,Thu,FALSE,2,Night,4,0,4,11.6,0.87,4.21,0,1
1/4/2024,Thu,FALSE,3,Night,4,0,2,11.4,0.58,3.37,0,0.5
1/4/2024,Thu,FALSE,4,Night,4,0,4,24.4,0.24,4.21,0,1
1/4/2024,Thu,FALSE,5,Night,7,1,6,18.9,0,8.42,0.143,0.857
1/4/2024,Thu,FALSE,6,Morning,16,1,15,81.8,0.01,19.65,0.062,0.938
1/4/2024,Thu,FALSE,7,Morning,25,2,17,112.9,0.59,30.88,0.08,0.68
1/4/2024,Thu,FALSE,8,Morning,46,3,40,164.6,1.53,42.1,0.065,0.87
1/4/2024,Thu,FALSE,9,Morning,59,7,43,236,7.35,50.53,0.119,0.729
1/4/2024,Thu,FALSE,10,Morning,68,10,53,372.4,1.15,58.95,0.147,0.779
