property_id,city,area_sqft,bedrooms,bathrooms,total_rooms,year_built,age_years,overall_quality,location_score,floor,has_parking,has_gym,price_lakhs
P0001,Hyderabad,2098,3,2,5,2003,21,6,2.8,8,1,0,1.49
P0002,Hyderabad,1717,4,3,7,2001,23,7,3.9,4,1,0,1.44
P0003,Chennai,2189,3,3,6,2017,7,9,6.3,1,0,1,2.33
P0004,Mumbai,2714,2,2,4,1996,28,6,1.7,1,0,1,1.51
P0005,Chennai,1660,2,1,3,1987,37,6,2.3,6,1,0,0.82
P0006,Mumbai,1660,3,2,5,2010,14,2,1.7,16,1,0,0.88
P0007,Hyderabad,2748,4,2,6,2019,5,2,8.3,9,1,1,2.11
P0008,Mumbai,2260,4,4,8,1992,32,4,7.8,11,1,0,1.4
P0009,Delhi,1518,4,4,8,2020,4,2,7.8,1,1,1,1.28
P0010,Delhi,2126,3,2,5,1991,33,7,7.4,9,1,0,1.46
P0011,Chennai,1522,3,2,5,2020,4,7,7.0,19,1,0,1.57
P0012,Chennai,1521,2,2,4,2000,24,3,5.3,0,1,0,0.92
P0013,Delhi,1945,3,2,5,2008,16,8,6.8,3,1,1,2.14
P0014,Bangalore,652,3,2,5,1985,39,4,1.3,12,1,1,0.55
P0015,Chennai,765,2,1,3,2009,15,5,6.6,11,1,0,0.93
P0016,Mumbai,1463,2,2,4,1994,30,4,8.0,10,1,1,1.18
P0017,Chennai,1192,3,2,5,2000,24,5,5.5,9,0,0,0.95
P0018,Hyderabad,1989,4,3,7,2000,24,4,4.2,14,1,0,1.14
P0019,Mumbai,1255,5,4,9,1992,32,6,3.5,4,1,1,0.94
P0020,Mumbai,953,5,3,8,2013,11,5,6.8,24,1,1,1.12
P0021,Delhi,2679,3,2,5,2023,1,10,7.2,16,1,1,4.35
P0022,Mumbai,1665,3,2,5,2012,12,2,8.8,4,1,1,1.23
P0023,Bangalore,1841,3,2,5,1990,34,3,4.1,1,1,0,0.84
P0024,Chennai,945,4,3,7,2000,24,2,7.9,8,1,0,0.79
P0025,Bangalore,1473,2,1,3,2004,20,7,6.1,5,0,1,1.15
P0026,Mumbai,1867,3,2,5,2000,24,2,8.9,17,0,0,1.07
P0027,Bangalore,1109,4,3,7,1991,33,8,5.8,13,0,0,1.01
P0028,Chennai,2025,3,2,5,1998,26,6,5.7,18,0,0,1.25
P0029,Hyderabad,1440,3,2,5,2010,14,6,6.2,13,1,0,1.24
P0030,Mumbai,1625,3,2,5,2010,14,6,7.7,7,0,1,1.52
P0031,Chennai,1439,2,1,3,1998,26,4,9.7,16,0,0,1.13
P0032,Hyderabad,2911,3,2,5,1991,33,4,1.7,2,1,1,1.61
P0033,Bangalore,1792,3,3,6,2017,7,5,1.5,9,1,0,1.27
P0034,Delhi,1165,1,1,2,2010,14,6,9.4,16,0,0,1.12
P0035,Mumbai,2294,1,1,2,2004,20,4,5.8,10,1,0,1.63
P0036,Hyderabad,1067,4,3,7,1987,37,3,6.5,7,0,0,0.62
P0037,Delhi,1925,3,2,5,1988,36,10,5.3,0,1,0,1.56
P0038,Hyderabad,624,3,2,5,2010,14,2,1.8,12,1,0,0.53
P0039,Chennai,1003,3,3,6,1995,29,8,7.9,20,1,0,1.12
P0040,Delhi,1918,5,4,9,1986,38,8,7.7,3,1,0,1.42
P0041,Bangalore,2243,3,3,6,1998,26,5,3.8,6,1,0,1.33
P0042,Mumbai,1903,3,2,5,2014,10,3,3.8,13,1,0,1.46
P0043,Delhi,1731,4,3,7,1996,28,3,8.5,4,1,0,1.06
P0044,Chennai,1619,4,3,7,2010,14,7,1.7,23,1,0,1.43
P0045,Chennai,913,2,1,3,2017,7,7,8.9,10,1,1,1.57
P0046,Delhi,1368,4,3,7,1997,27,8,3.3,16,0,0,1.05
P0047,Chennai,1524,3,2,5,1998,26,9,6.3,4,0,1,1.42
P0048,Mumbai,2434,3,3,6,2008,16,7,9.4,19,1,1,2.62
P0049,Delhi,2006,2,1,3,2018,6,4,7.1,2,1,0,1.74
P0050,Bangalore,742,2,1,3,2010,14,4,4.7,4,1,1,0.91
P0051,Delhi,1994,4,3,7,2005,19,8,7.2,14,0,0,1.5
P0052,Hyderabad,1569,3,2,5,2012,12,4,4.1,18,0,1,1.31
P0053,Chennai,1394,3,2,5,2020,4,3,3.5,15,1,1,0.93
P0054,Bangalore,2167,4,3,7,1986,38,7,10.0,7,1,0,1.73
P0055,Bangalore,2419,4,2,6,1993,31,5,7.8,12,0,0,1.22
P0056,Mumbai,2359,2,1,3,2007,17,9,6.8,15,0,0,2.31
P0057,Delhi,1296,3,3,6,1999,25,7,4.2,2,0,0,0.98
P0058,Chennai,1614,2,2,4,1997,27,3,1.4,0,0,0,0.66
P0059,Hyderabad,1999,4,3,7,2007,17,9,1.3,8,1,0,1.65
P0060,Chennai,2385,3,2,5,2001,23,4,6.0,8,1,0,1.44
P0061,Delhi,1512,5,4,9,1986,38,5,7.9,21,1,0,1.12
P0062,Delhi,1689,2,2,4,2004,20,5,5.8,16,1,1,1.24
P0063,Mumbai,1136,2,1,3,2004,20,2,8.6,23,1,1,1.03
P0064,Mumbai,1082,3,2,5,1987,37,6,1.3,1,1,0,0.7
P0065,Bangalore,2288,3,2,5,1996,28,3,4.3,8,1,0,1.13
P0066,Bangalore,2614,2,2,4,1986,38,5,3.1,23,1,0,1.33
P0067,Delhi,1757,4,4,8,2020,4,5,5.0,18,1,0,1.48
P0068,Bangalore,2402,2,1,3,1998,26,7,1.7,12,1,1,1.59
P0069,Chennai,2017,3,3,6,2000,24,8,9.6,4,1,0,1.88
P0070,Delhi,1413,4,3,7,2003,21,4,3.0,8,0,0,0.9
P0071,Chennai,2017,3,3,6,2018,6,5,9.3,12,0,1,2.02
P0072,Mumbai,2723,4,3,7,1990,34,5,4.8,0,1,1,1.73
P0073,Bangalore,1779,2,2,4,1997,27,4,9.9,24,1,0,1.35
P0074,Chennai,2739,3,2,5,2020,4,8,6.0,14,1,0,2.9
P0075,Bangalore,500,1,1,2,2006,18,7,9.4,3,0,0,1.13
