loan_id,credit_score,income_lpa,loan_amount_l,debt_ratio,employment_yr,num_accounts,late_payments,loan_purpose,defaulted
L00001,639,42.18,47.39,0.16,21.3,4,1,Personal,0
L00002,815,52.6,51.48,0.201,3.0,5,2,Education,0
L00003,673,28.41,72.36,0.168,8.7,3,1,Car,0
L00004,756,16.9,12.35,0.154,1.6,11,0,Education,0
L00005,638,8.6,40.84,0.491,0.9,1,0,Home,0
L00006,644,30.73,47.72,0.101,0.5,4,3,Education,0
L00007,710,22.19,44.87,0.186,0.4,13,2,Home,0
L00008,716,11.51,60.64,0.318,3.2,1,0,Education,0
L00009,641,14.82,27.43,0.489,0.8,4,2,Home,0
L00010,461,6.24,22.11,0.12,0.2,4,1,Home,1
L00011,637,13.96,65.91,0.244,0.1,5,0,Home,0
L00012,705,40.25,15.65,0.263,2.2,14,0,Home,0
L00013,652,37.66,44.94,0.21,0.3,11,0,Car,0
L00014,686,23.28,37.26,0.045,0.8,3,0,Education,0
L00015,672,16.58,79.95,0.098,5.4,6,1,Personal,0
L00016,535,22.01,68.6,0.376,2.8,10,1,Home,0
L00017,721,24.12,53.82,0.038,0.3,6,0,Car,0
L00018,604,10.8,70.33,0.163,4.3,2,0,Car,0
L00019,610,15.42,31.75,0.108,10.2,9,0,Home,0
L00020,697,49.32,79.87,0.146,5.1,5,1,Home,0
L00021,591,11.99,74.47,0.081,7.9,14,0,Home,0
L00022,671,12.29,48.36,0.165,0.4,3,1,Personal,0
L00023,582,22.42,39.5,0.154,4.2,6,0,Home,0
L00024,635,21.09,54.85,0.206,5.0,1,1,Home,0
L00025,620,23.2,65.74,0.48,5.5,11,0,Car,1
L00026,613,55.38,18.43,0.436,3.2,9,0,Home,0
L00027,585,10.61,78.37,0.091,9.8,11,0,Home,0
L00028,646,11.45,37.28,0.366,6.5,10,0,Education,0
L00029,660,9.63,42.27,0.099,5.3,10,2,Car,0
L00030,724,25.43,57.78,0.137,5.0,7,0,Home,0
L00031,604,58.6,28.41,0.191,2.9,7,2,Home,1
L00032,654,18.16,28.71,0.372,4.6,11,2,Home,0
L00033,827,20.14,20.86,0.339,0.1,3,1,Personal,0
L00034,681,12.13,65.72,0.547,12.0,5,0,Personal,1
L00035,689,25.13,56.47,0.288,2.8,5,2,Home,0
L00036,685,22.25,53.33,0.178,3.1,7,0,Home,0
L00037,514,25.24,15.16,0.183,0.7,9,0,Home,0
L00038,630,68.94,46.0,0.331,14.4,3,0,Home,0
L00039,479,9.95,55.25,0.301,0.4,9,0,Education,0
L00040,719,28.77,40.83,0.407,0.1,8,3,Personal,0
L00041,786,27.34,6.48,0.093,10.4,11,0,Personal,0
L00042,608,10.68,50.81,0.059,2.1,11,0,Home,0
L00043,791,25.42,31.08,0.494,22.8,6,0,Home,0
L00044,560,16.39,59.53,0.37,1.6,5,2,Personal,1
L00045,555,19.21,65.92,0.065,4.2,1,2,Home,1
L00046,694,22.05,73.58,0.648,5.2,14,0,Home,0
L00047,585,16.59,10.67,0.183,1.7,7,0,Personal,0
L00048,610,8.3,44.81,0.411,1.2,13,0,Home,1
L00049,737,21.17,75.85,0.348,17.2,3,1,Personal,0
L00050,572,37.92,22.29,0.674,0.9,6,1,Car,0
L00051,627,30.25,49.97,0.196,4.6,7,0,Personal,0
L00052,641,20.74,76.16,0.372,11.4,2,0,Home,0
L00053,680,18.67,29.32,0.397,14.8,14,0,Personal,0
L00054,709,21.76,8.52,0.247,9.1,8,2,Home,0
L00055,642,35.24,57.06,0.143,1.8,1,0,Home,0
L00056,554,7.31,33.37,0.199,4.7,13,0,Car,1
L00057,731,43.03,36.37,0.311,0.2,2,0,Home,0
L00058,850,14.05,69.37,0.214,12.4,12,1,Personal,0
L00059,716,10.1,25.16,0.127,1.3,11,1,Home,0
L00060,695,36.31,40.08,0.098,1.0,14,2,Education,0
L00061,620,42.35,58.5,0.275,1.9,1,1,Car,0
L00062,630,10.03,58.6,0.205,0.9,3,1,Home,0
L00063,539,15.29,8.25,0.103,0.5,6,0,Education,0
L00064,699,20.26,32.76,0.44,2.2,7,0,Personal,1
L00065,639,21.04,44.35,0.148,0.1,12,2,Home,0
L00066,753,15.58,18.53,0.193,3.1,14,0,Personal,0
L00067,567,21.93,59.56,0.37,0.5,4,1,Home,0
L00068,759,21.25,60.81,0.181,2.0,13,0,Home,0
L00069,625,29.22,33.72,0.055,20.8,1,0,Personal,0
L00070,601,35.2,36.6,0.502,1.2,7,0,Car,0
L00071,611,11.08,6.4,0.039,4.0,4,1,Personal,0
L00072,601,39.1,20.14,0.179,1.6,4,0,Home,1
L00073,483,25.2,5.21,0.247,4.4,5,1,Education,0
L00074,701,7.9,19.88,0.206,4.4,5,0,Personal,0
L00075,712,25.43,34.98,0.501,4.3,14,0,Personal,0
L00076,752,29.32,62.39,0.086,1.4,3,1,Education,0
L00077,706,4.94,61.41,0.119,10.2,13,0,Personal,0
L00078,702,11.76,55.67,0.419,2.2,1,1,Education,0
L00079,516,28.39,5.37,0.376,0.9,5,2,Car,0
L00080,665,19.47,6.56,0.296,1.5,14,0,Home,1
L00081,559,28.64,78.16,0.268,3.7,5,1,Education,0
L00082,628,19.03,10.82,0.464,2.6,7,1,Personal,0
L00083,762,24.06,31.55,0.427,2.0,2,0,Personal,0
L00084,653,33.99,76.73,0.28,2.3,2,1,Car,0
L00085,441,22.35,24.76,0.281,1.1,11,1,Personal,1
L00086,570,21.35,70.32,0.452,1.3,4,1,Education,0
L00087,605,41.66,67.07,0.197,0.1,9,0,Car,0
L00088,632,38.97,33.12,0.244,0.1,3,3,Home,0
L00089,725,21.45,73.78,0.208,2.6,7,1,Home,0
L00090,717,46.15,54.51,0.531,2.6,8,0,Education,0
L00091,715,33.05,53.75,0.538,14.2,13,2,Home,0
L00092,669,9.93,26.52,0.74,11.0,9,0,Personal,0
L00093,626,20.77,34.38,0.283,2.8,14,1,Home,0
L00094,621,17.35,69.26,0.111,1.4,12,2,Education,0
L00095,685,46.17,50.9,0.445,4.2,9,0,Car,0
L00096,725,37.56,66.83,0.48,1.1,11,0,Home,0
L00097,774,12.61,39.17,0.317,5.8,4,0,Education,0
L00098,657,24.88,23.43,0.14,7.6,10,2,Education,0
L00099,674,25.63,62.75,0.151,3.6,4,2,Car,0
L00100,769,9.84,49.9,0.316,14.3,11,0,Car,0
L00101,563,17.99,72.98,0.423,13.1,11,0,Home,1
L00102,716,14.17,17.9,0.268,8.7,9,1,Personal,0
L00103,587,6.76,53.67,0.079,2.9,11,2,Home,1
L00104,778,10.87,36.58,0.266,0.9,4,0,Home,0
L00105,762,42.36,60.31,0.38,2.3,8,0,Home,0
L00106,782,30.03,31.51,0.515,5.2,4,1,Home,0
L00107,773,40.82,18.74,0.213,1.3,12,2,Home,0
L00108,717,15.91,61.46,0.229,8.9,11,0,Car,0
L00109,568,45.76,55.81,0.255,2.2,10,0,Personal,1
L00110,690,11.29,10.53,0.245,1.7,6,0,Education,0
L00111,722,39.79,56.36,0.27,1.0,8,1,Home,0
L00112,688,30.7,23.7,0.234,5.7,6,0,Home,0
L00113,641,20.21,76.28,0.314,1.1,9,0,Home,0
L00114,663,11.45,66.98,0.558,3.1,6,2,Education,1
L00115,681,25.64,62.11,0.209,2.9,3,0,Education,0
L00116,568,18.05,5.92,0.429,15.4,4,0,Home,0
L00117,704,15.69,47.05,0.35,4.5,3,0,Education,0
L00118,694,11.79,38.11,0.358,8.2,9,1,Personal,0
L00119,639,28.93,49.61,0.435,0.1,11,0,Home,1
L00120,703,14.6,39.63,0.466,12.7,10,1,Home,0
L00121,743,59.91,17.32,0.214,1.0,3,1,Education,0
L00122,569,20.26,21.55,0.027,3.7,12,0,Car,0
L00123,768,19.45,47.11,0.359,0.4,11,1,Personal,0
L00124,731,18.76,67.2,0.317,9.0,8,1,Home,0
L00125,730,52.18,11.51,0.364,1.3,8,1,Car,0
L00126,730,33.26,45.23,0.562,0.3,11,0,Car,1
L00127,707,12.2,63.42,0.158,1.2,13,0,Personal,0
L00128,650,57.59,41.09,0.314,15.8,3,1,Personal,0
L00129,591,33.04,64.51,0.116,2.8,11,0,Car,0
L00130,691,12.03,40.98,0.478,7.1,2,1,Education,0
L00131,661,14.19,46.86,0.305,3.4,14,0,Home,0
L00132,595,25.21,75.41,0.384,15.0,14,0,Car,0
L00133,791,16.32,37.29,0.28,1.9,10,0,Car,0
L00134,717,55.69,19.05,0.302,0.6,1,1,Car,0
L00135,625,17.03,8.72,0.192,2.1,13,1,Car,0
L00136,524,33.82,43.57,0.534,5.9,1,4,Personal,1
L00137,583,10.83,79.31,0.494,3.6,7,1,Home,1
L00138,689,18.28,45.11,0.146,2.2,1,0,Home,0
L00139,629,36.25,22.99,0.298,5.9,1,1,Education,0
L00140,545,13.12,74.49,0.265,1.6,14,0,Car,1
L00141,671,21.18,11.69,0.093,4.8,4,0,Education,0
L00142,637,26.15,79.58,0.205,2.3,12,2,Home,1
L00143,618,17.49,50.06,0.237,4.8,5,0,Home,1
L00144,550,19.83,38.18,0.321,2.9,8,1,Car,0
L00145,677,15.84,77.24,0.256,2.0,5,1,Personal,1
L00146,564,12.42,53.33,0.377,5.5,12,0,Personal,0
L00147,633,15.58,53.66,0.151,2.1,2,2,Home,0
L00148,743,19.42,68.55,0.262,9.8,3,3,Home,0
L00149,750,22.09,78.18,0.503,1.7,8,1,Home,0
L00150,640,16.4,46.67,0.303,17.2,6,1,Home,0
L00151,404,28.75,16.2,0.236,0.2,11,1,Car,0
L00152,710,64.76,12.64,0.037,0.5,13,2,Home,0
L00153,576,19.2,73.17,0.15,9.5,3,2,Education,0
L00154,539,9.1,10.0,0.173,6.1,10,1,Home,0
L00155,709,10.93,55.07,0.794,2.9,11,2,Education,1
L00156,502,36.89,33.98,0.4,6.5,9,1,Car,0
L00157,707,39.79,10.49,0.221,0.5,13,1,Car,0
L00158,722,31.25,42.06,0.635,3.0,10,1,Car,0
L00159,690,21.75,79.09,0.316,18.4,11,2,Personal,0
L00160,667,18.72,45.42,0.642,5.8,9,0,Home,0
L00161,641,18.92,65.1,0.308,2.0,10,2,Home,1
L00162,611,74.74,53.75,0.413,0.4,6,1,Car,0
L00163,563,13.01,15.35,0.202,3.6,3,0,Car,0
L00164,839,15.16,28.32,0.073,5.1,3,1,Personal,0
L00165,614,28.6,14.89,0.555,9.1,6,2,Education,1
L00166,576,35.73,40.68,0.125,12.2,6,0,Personal,0
L00167,643,19.24,65.38,0.352,0.6,6,0,Home,0
L00168,696,15.46,43.67,0.176,3.3,3,0,Car,0
L00169,732,19.18,22.9,0.084,2.8,2,1,Education,0
L00170,632,11.75,5.62,0.573,1.8,1,1,Home,0
L00171,635,32.12,26.89,0.519,2.4,1,1,Personal,0
L00172,586,18.3,63.92,0.432,1.4,3,1,Car,1
L00173,630,23.2,15.45,0.579,0.7,14,3,Car,0
L00174,719,16.87,76.58,0.381,1.2,7,0,Home,0
L00175,645,26.35,20.66,0.085,1.2,2,3,Personal,0
L00176,621,15.9,67.97,0.249,0.1,13,0,Home,0
L00177,664,17.81,66.21,0.068,4.9,7,1,Car,0
L00178,587,14.21,75.39,0.278,2.7,2,1,Education,1
L00179,477,25.48,18.37,0.522,0.6,2,1,Home,0
L00180,611,36.65,64.56,0.476,4.3,1,4,Personal,1
L00181,411,22.61,15.17,0.122,5.4,10,1,Personal,0
L00182,629,19.9,6.76,0.491,3.3,12,2,Education,1
L00183,683,14.94,74.04,0.272,0.6,6,0,Education,0
L00184,729,10.4,61.14,0.158,1.8,2,1,Personal,0
L00185,692,8.8,13.42,0.193,12.7,2,1,Personal,0
L00186,653,18.4,31.76,0.127,0.7,1,2,Home,0
L00187,568,15.52,13.04,0.574,0.1,7,1,Car,0
L00188,562,10.14,72.76,0.378,1.1,8,2,Education,0
L00189,633,20.3,35.77,0.386,4.6,8,0,Education,0
L00190,581,11.7,65.54,0.292,6.5,11,0,Car,0
L00191,573,38.13,21.64,0.096,1.1,7,2,Personal,0
L00192,654,27.37,23.62,0.21,8.7,8,0,Education,0
L00193,582,23.74,34.33,0.428,3.7,6,0,Home,0
L00194,505,10.54,11.2,0.107,2.6,6,0,Education,0
L00195,633,16.97,15.64,0.109,2.8,4,2,Personal,0
L00196,574,14.1,17.44,0.498,3.7,7,0,Car,1
L00197,691,19.31,59.24,0.097,1.1,9,0,Personal,0
L00198,754,14.01,6.3,0.407,0.9,3,1,Education,0
L00199,711,10.58,47.61,0.654,2.7,4,0,Personal,0
L00200,685,10.31,63.83,0.062,0.9,13,1,Personal,0
L00201,759,18.76,56.82,0.239,2.7,1,1,Home,0
L00202,572,9.23,24.38,0.539,1.5,2,1,Personal,1
L00203,604,33.23,5.61,0.372,0.8,9,0,Home,0
L00204,665,11.53,66.64,0.09,0.6,2,2,Home,1
L00205,618,20.33,19.01,0.077,2.0,8,0,Car,0
L00206,662,19.93,40.9,0.219,2.7,4,1,Education,0
L00207,620,24.32,55.29,0.544,21.2,5,3,Personal,0
L00208,629,28.31,54.04,0.173,2.1,11,0,Car,1
L00209,616,9.97,11.34,0.501,7.1,3,2,Home,0
L00210,710,28.93,13.98,0.113,5.7,4,1,Education,0
L00211,635,9.54,9.44,0.093,10.3,12,0,Home,1
L00212,545,26.38,26.51,0.398,5.3,13,2,Car,1
L00213,640,30.12,55.24,0.261,3.4,6,0,Car,0
L00214,601,10.01,79.89,0.435,3.0,7,0,Car,1
L00215,766,18.42,10.63,0.276,0.9,12,0,Education,0
