date,sales,year,month,day_of_week,week,is_weekend
2019-01-01,375,2019,1,1,1,0
2019-01-02,348,2019,1,2,1,0
2019-01-03,383,2019,1,3,1,0
2019-01-04,469,2019,1,4,1,0
2019-01-05,468,2019,1,5,1,1
2019-01-06,434,2019,1,6,1,1
2019-01-07,390,2019,1,0,2,0
2019-01-08,394,2019,1,1,2,0
2019-01-09,340,2019,1,2,2,0
2019-01-10,385,2019,1,3,2,0
2019-01-11,377,2019,1,4,2,0
2019-01-12,464,2019,1,5,2,1
2019-01-13,469,2019,1,6,2,1
2019-01-14,262,2019,1,0,3,0
2019-01-15,298,2019,1,1,3,0
2019-01-16,344,2019,1,2,3,0
2019-01-17,327,2019,1,3,3,0
2019-01-18,424,2019,1,4,3,0
2019-01-19,451,2019,1,5,3,1
2019-01-20,394,2019,1,6,3,1
2019-01-21,403,2019,1,0,4,0
2019-01-22,367,2019,1,1,4,0
2019-01-23,381,2019,1,2,4,0
2019-01-24,320,2019,1,3,4,0
2019-01-25,393,2019,1,4,4,0
2019-01-26,524,2019,1,5,4,1
2019-01-27,419,2019,1,6,4,1
2019-01-28,364,2019,1,0,5,0
2019-01-29,361,2019,1,1,5,0
2019-01-30,377,2019,1,2,5,0
2019-01-31,365,2019,1,3,5,0
2019-02-01,541,2019,2,4,5,0
2019-02-02,534,2019,2,5,5,1
2019-02-03,438,2019,2,6,5,1
2019-02-04,397,2019,2,0,6,0
2019-02-05,347,2019,2,1,6,0
2019-02-06,414,2019,2,2,6,0
2019-02-07,321,2019,2,3,6,0
2019-02-08,383,2019,2,4,6,0
2019-02-09,567,2019,2,5,6,1
2019-02-10,564,2019,2,6,6,1
2019-02-11,381,2019,2,0,7,0
2019-02-12,411,2019,2,1,7,0
2019-02-13,405,2019,2,2,7,0
2019-02-14,353,2019,2,3,7,0
2019-02-15,428,2019,2,4,7,0
2019-02-16,545,2019,2,5,7,1
2019-02-17,608,2019,2,6,7,1
2019-02-18,404,2019,2,0,8,0
2019-02-19,351,2019,2,1,8,0
2019-02-20,453,2019,2,2,8,0
2019-02-21,419,2019,2,3,8,0
2019-02-22,447,2019,2,4,8,0
2019-02-23,644,2019,2,5,8,1
2019-02-24,631,2019,2,6,8,1
2019-02-25,452,2019,2,0,9,0
2019-02-26,408,2019,2,1,9,0
2019-02-27,437,2019,2,2,9,0
2019-02-28,475,2019,2,3,9,0
2019-03-01,568,2019,3,4,9,0
2019-03-02,589,2019,3,5,9,1
2019-03-03,568,2019,3,6,9,1
2019-03-04,368,2019,3,0,10,0
2019-03-05,407,2019,3,1,10,0
2019-03-06,521,2019,3,2,10,0
2019-03-07,559,2019,3,3,10,0
2019-03-08,521,2019,3,4,10,0
2019-03-09,732,2019,3,5,10,1
2019-03-10,631,2019,3,6,10,1
2019-03-11,405,2019,3,0,11,0
2019-03-12,511,2019,3,1,11,0
2019-03-13,592,2019,3,2,11,0
2019-03-14,493,2019,3,3,11,0
2019-03-15,661,2019,3,4,11,0
2019-03-16,493,2019,3,5,11,1
2019-03-17,694,2019,3,6,11,1
2019-03-18,460,2019,3,0,12,0
2019-03-19,491,2019,3,1,12,0
2019-03-20,518,2019,3,2,12,0
2019-03-21,405,2019,3,3,12,0
2019-03-22,555,2019,3,4,12,0
2019-03-23,733,2019,3,5,12,1
2019-03-24,781,2019,3,6,12,1
2019-03-25,445,2019,3,0,13,0
2019-03-26,480,2019,3,1,13,0
2019-03-27,501,2019,3,2,13,0
2019-03-28,597,2019,3,3,13,0
2019-03-29,615,2019,3,4,13,0
2019-03-30,685,2019,3,5,13,1
2019-03-31,722,2019,3,6,13,1
2019-04-01,497,2019,4,0,14,0
2019-04-02,617,2019,4,1,14,0
2019-04-03,507,2019,4,2,14,0
2019-04-04,533,2019,4,3,14,0
2019-04-05,585,2019,4,4,14,0
2019-04-06,634,2019,4,5,14,1
2019-04-07,729,2019,4,6,14,1
2019-04-08,525,2019,4,0,15,0
2019-04-09,569,2019,4,1,15,0
2019-04-10,555,2019,4,2,15,0
2019-04-11,484,2019,4,3,15,0
2019-04-12,603,2019,4,4,15,0
2019-04-13,750,2019,4,5,15,1
2019-04-14,661,2019,4,6,15,1
2019-04-15,516,2019,4,0,16,0
2019-04-16,616,2019,4,1,16,0
2019-04-17,740,2019,4,2,16,0
2019-04-18,605,2019,4,3,16,0
2019-04-19,675,2019,4,4,16,0
2019-04-20,800,2019,4,5,16,1
2019-04-21,596,2019,4,6,16,1
2019-04-22,541,2019,4,0,17,0
2019-04-23,610,2019,4,1,17,0
2019-04-24,817,2019,4,2,17,0
2019-04-25,596,2019,4,3,17,0
2019-04-26,699,2019,4,4,17,0
2019-04-27,827,2019,4,5,17,1
2019-04-28,671,2019,4,6,17,1
2019-04-29,640,2019,4,0,18,0
2019-04-30,681,2019,4,1,18,0
2019-05-01,687,2019,5,2,18,0
2019-05-02,562,2019,5,3,18,0
2019-05-03,819,2019,5,4,18,0
2019-05-04,720,2019,5,5,18,1
2019-05-05,850,2019,5,6,18,1
2019-05-06,744,2019,5,0,19,0
2019-05-07,566,2019,5,1,19,0
2019-05-08,598,2019,5,2,19,0
2019-05-09,650,2019,5,3,19,0
2019-05-10,667,2019,5,4,19,0
2019-05-11,724,2019,5,5,19,1
2019-05-12,816,2019,5,6,19,1
2019-05-13,515,2019,5,0,20,0
2019-05-14,690,2019,5,1,20,0
2019-05-15,585,2019,5,2,20,0
2019-05-16,789,2019,5,3,20,0
2019-05-17,658,2019,5,4,20,0
2019-05-18,856,2019,5,5,20,1
2019-05-19,910,2019,5,6,20,1
2019-05-20,514,2019,5,0,21,0
2019-05-21,682,2019,5,1,21,0
2019-05-22,778,2019,5,2,21,0
2019-05-23,550,2019,5,3,21,0
2019-05-24,752,2019,5,4,21,0
2019-05-25,933,2019,5,5,21,1
2019-05-26,922,2019,5,6,21,1
2019-05-27,522,2019,5,0,22,0
2019-05-28,575,2019,5,1,22,0
2019-05-29,719,2019,5,2,22,0
2019-05-30,701,2019,5,3,22,0
2019-05-31,768,2019,5,4,22,0
2019-06-01,956,2019,6,5,22,1
2019-06-02,784,2019,6,6,22,1
2019-06-03,630,2019,6,0,23,0
2019-06-04,707,2019,6,1,23,0
