customer_id,age,income_lpa,city_tier,spend_score,frequency_pm,avg_order_val,recency_days,total_orders,total_spend,clv,cat_electronics,cat_fashion,cat_grocery,cat_beauty,cat_sports,cat_home,app_sessions_pw,email_open_rate,push_click_rate,web_sessions_pw,pages_per_session,cart_abandon_rate,wishlist_items,reviews_written,returns_rate,referrals_made,pref_mobile,pref_desktop,pref_app,loyalty_years,nps_score,satisfaction,support_tickets,discount_usage,engagement_score,churn_risk
C00001,44,37.64,3,39.8,3.8,261,8,32,8352,26800,0.271,0.254,0.818,0.053,0.413,0.288,2.2,0.462,0.347,3.3,1.6,0.459,1,2,0.221,0,0.373,0.627,0.312,12.0,7,5,4,0.37,37.0,0.374
C00002,36,18.12,3,27.1,2.8,200,173,33,6600,17661,0.654,0.148,0.419,0.31,0.28,0.528,0.0,0.639,0.327,0.0,1.6,0.421,3,5,0.348,0,0.833,0.16700000000000004,0.455,1.8,9,5,0,0.577,30.0,0.527
C00003,46,15.64,1,42.1,2.5,268,21,28,7504,15411,0.335,0.829,0.811,0.259,0.195,0.617,1.4,0.376,0.225,2.6,2.2,0.301,2,5,0.079,0,0.71,0.29000000000000004,0.398,5.0,9,3,0,0.625,32.7,0.447
C00004,56,24.49,3,15.3,5.0,200,5,56,11200,25708,0.267,0.724,0.663,0.108,0.124,0.219,0.8,0.508,0.143,0.7,18.8,0.879,2,1,0.127,0,0.555,0.44499999999999995,0.571,1.3,6,3,0,0.412,24.0,0.326
C00005,35,22.34,2,27.6,4.4,200,31,60,12000,34326,0.357,0.677,0.694,0.057,0.054,0.428,0.3,0.579,0.503,0.6,1.0,0.693,6,1,0.182,0,0.83,0.17000000000000004,0.752,0.7,0,4,0,0.529,29.4,0.348
C00006,35,19.12,1,33.0,3.4,456,93,28,12768,41900,0.243,0.518,0.891,0.303,0.402,0.337,1.4,0.395,0.556,2.7,1.4,0.34,7,2,0.224,1,0.37,0.63,0.751,1.7,9,4,0,0.281,29.7,0.497
C00007,57,35.98,1,41.6,4.3,1178,98,54,63612,100643,0.015,0.828,0.811,0.361,0.152,0.152,3.1,0.328,0.25,2.9,1.4,0.824,2,3,0.283,0,0.119,0.881,0.524,3.7,6,4,1,0.299,36.7,0.5
C00008,47,41.49,1,25.1,3.5,200,1,29,5800,9530,0.238,0.453,0.324,0.671,0.63,0.105,5.4,0.313,0.269,7.7,14.7,0.508,3,1,0.15,4,0.911,0.08899999999999997,0.498,6.0,8,5,1,0.279,37.2,0.418
C00009,32,25.75,2,16.3,6.6,200,98,54,10800,23221,0.195,0.793,0.384,0.178,0.112,0.094,2.6,0.083,0.125,1.5,2.1,0.307,5,1,0.106,2,0.687,0.31299999999999994,0.067,0.5,8,5,2,0.414,17.6,0.515
C00010,45,55.29,2,46.6,1.3,200,14,14,2800,5504,0.697,0.582,0.659,0.165,0.597,0.417,6.7,0.416,0.211,5.0,3.3,0.572,2,2,0.117,3,0.461,0.5389999999999999,0.474,0.3,10,5,0,0.25,53.2,0.457
C00011,32,13.09,1,33.8,2.8,798,2,23,18354,37256,0.504,0.617,0.579,0.209,0.292,0.367,1.7,0.1,0.206,2.3,1.0,0.533,1,1,0.216,2,0.445,0.5549999999999999,0.252,0.4,0,5,1,0.084,22.1,0.501
C00012,32,22.05,2,26.6,3.0,200,85,38,7600,14763,0.231,0.448,0.272,0.129,0.144,0.213,5.0,0.553,0.228,7.4,1.0,0.586,4,3,0.332,0,0.618,0.382,0.277,0.9,8,3,0,0.664,43.7,0.451
C00013,41,16.54,1,27.5,4.3,200,90,48,9600,18160,0.326,0.626,0.673,0.501,0.272,0.189,2.2,0.344,0.058,2.9,1.7,0.814,5,1,0.026,0,0.632,0.368,0.098,2.3,8,5,2,0.378,28.6,0.486
C00014,18,8.79,2,23.1,0.7,320,41,6,1920,3382,0.131,0.254,0.791,0.13,0.225,0.202,1.7,0.574,0.318,2.6,4.1,0.253,5,3,0.447,1,0.18,0.8200000000000001,0.675,3.3,8,5,0,0.606,32.1,0.455
C00015,18,23.44,2,33.5,0.5,876,38,4,3504,11801,0.2,0.618,0.422,0.451,0.137,0.126,1.1,0.179,0.204,1.9,4.7,0.405,4,2,0.2,0,0.755,0.245,0.416,1.1,9,4,0,0.055,22.4,0.575
C00016,31,22.94,3,21.2,3.2,335,75,37,12395,22167,0.249,0.578,0.459,0.089,0.065,0.65,2.1,0.36,0.184,1.6,5.6,0.279,1,2,0.334,1,0.712,0.28800000000000003,0.096,6.3,2,5,0,0.581,26.2,0.493
C00017,26,56.4,3,48.0,4.8,200,69,62,12400,23669,0.677,0.705,0.719,0.204,0.02,0.427,3.0,0.23,0.043,4.5,7.9,0.743,3,0,0.155,0,0.722,0.278,0.566,1.5,5,4,2,0.382,36.0,0.485
C00018,42,34.71,2,20.7,6.4,210,99,68,14280,28453,0.111,0.616,0.402,0.369,0.393,0.091,0.0,0.292,0.085,0.0,1.0,0.491,3,3,0.219,1,0.712,0.28800000000000003,0.383,1.7,8,5,1,0.53,17.0,0.458
C00019,27,13.97,2,24.0,0.5,710,36,6,4260,14339,0.422,0.479,0.466,0.1,0.347,0.29,2.7,0.389,0.566,1.8,1.0,0.552,4,1,0.23,0,0.373,0.627,0.162,5.4,6,4,1,0.579,30.2,0.51
C00020,21,68.02,2,44.6,7.0,200,154,90,18000,54206,0.379,0.575,0.548,0.259,0.146,0.305,0.0,0.734,0.068,0.0,6.2,0.707,1,2,0.097,0,0.501,0.499,0.136,0.2,6,4,3,0.338,39.9,0.371
C00021,56,48.02,3,37.9,8.7,200,250,101,20200,62204,0.156,0.43,0.722,0.202,0.151,0.818,3.4,0.281,0.419,3.8,2.3,0.33,1,0,0.027,1,0.516,0.484,0.391,2.3,7,3,2,0.287,34.8,0.568
C00022,35,33.79,1,28.5,2.6,200,6,24,4800,8206,0.498,0.343,0.778,0.114,0.435,0.504,2.9,0.493,0.474,5.2,11.8,0.364,2,1,0.252,1,0.605,0.395,0.611,2.1,10,5,0,0.391,35.8,0.393
C00023,39,21.66,1,42.7,0.5,200,85,6,1200,3807,0.381,0.407,0.569,0.331,0.376,0.139,4.3,0.17,0.279,3.5,11.5,0.59,5,4,0.235,0,0.347,0.653,0.518,1.3,5,3,1,0.801,36.4,0.629
C00024,21,14.47,1,23.4,1.8,200,31,21,4200,9729,0.398,0.278,0.486,0.154,0.049,0.412,0.0,0.668,0.414,0.0,1.0,0.491,1,1,0.196,3,0.662,0.33799999999999997,0.137,1.4,9,5,0,0.716,29.4,0.388
C00025,31,19.99,2,35.8,2.8,557,22,35,19495,39490,0.334,0.454,0.526,0.43,0.349,0.097,0.0,0.307,0.333,0.0,4.7,0.417,3,2,0.185,0,0.601,0.399,0.311,2.9,7,3,2,0.331,23.5,0.461
C00026,39,44.65,2,39.8,4.9,290,43,57,16530,43829,0.36,0.567,0.547,0.232,0.34,0.203,4.1,0.309,0.159,8.1,1.0,0.601,8,2,0.432,1,0.188,0.812,0.304,2.1,8,5,2,0.432,38.7,0.43
C00027,24,69.17,3,56.2,3.6,333,3,50,16650,52354,0.182,0.193,0.106,0.217,0.253,0.326,0.2,0.448,0.124,0.2,2.1,0.43,4,1,0.153,1,0.643,0.357,0.438,2.7,4,2,0,0.766,36.6,0.377
C00028,43,57.33,1,36.7,7.4,200,32,68,13600,41579,0.424,0.555,0.236,0.22,0.057,0.046,0.0,0.337,0.292,0.0,7.4,0.676,3,2,0.318,1,0.854,0.14600000000000002,0.398,1.5,4,3,0,0.207,24.8,0.346
C00029,31,18.75,2,38.0,0.5,264,92,7,1848,6061,0.456,0.321,0.743,0.287,0.032,0.215,1.8,0.399,0.148,1.6,2.5,0.376,2,0,0.225,0,0.353,0.647,0.353,1.3,4,5,1,0.461,33.1,0.568
C00030,34,13.25,3,13.1,0.5,200,11,6,1200,4028,0.19,0.561,0.801,0.161,0.225,0.358,1.2,0.543,0.209,0.7,1.0,0.83,2,4,0.404,1,0.159,0.841,0.137,1.8,9,4,1,0.524,25.5,0.436
C00031,31,26.51,3,18.7,5.3,200,25,64,12800,25296,0.409,0.457,0.579,0.265,0.221,0.492,1.8,0.143,0.424,1.4,1.1,0.802,2,1,0.209,2,0.669,0.33099999999999996,0.335,1.4,9,4,0,0.501,17.7,0.45
