channel,discount,revenue
Email,10,896.02
Email,10,1479.26
Email,10,1279.23
Email,10,778.24
Email,10,1037.99
Email,10,1662.4
Email,10,520.53
Email,10,1079.9
Email,10,1554.46
Email,10,957.31
Email,10,1009.91
Email,10,1173.48
Email,10,1617.59
Email,10,1021.11
Email,10,1075.69
Email,10,1078.38
Email,10,1817.66
Email,10,1812.3
Email,10,1481.14
Email,10,1308.13
Email,10,1406.46
Email,10,1617.4
Email,10,937.97
Email,10,1529.23
Email,10,848.91
Email,10,1021.43
Email,10,1453.99
Email,10,799.97
Email,10,1160.78
Email,10,958.71
Email,10,1128.43
Email,10,416.4
Email,10,703.97
Email,10,1004.03
Email,10,1459.69
Email,10,1151.38
Email,10,1200.8
Email,10,1392.7
Email,10,953.73
Email,10,1279.42
Email,10,974.5
Email,10,716.25
Email,10,1090.55
Email,10,1360.67
Email,10,1294.8
Email,10,1196.69
Email,10,1869.86
Email,10,1315.62
Email,10,1474.05
Email,10,1826.68
Email,20,1237.66
Email,20,1309.14
Email,20,2088.24
Email,20,1376.54
Email,20,1608.31
Email,20,1899.41
Email,20,1849.4
Email,20,2091.37
Email,20,2018.78
Email,20,1899.43
Email,20,1383.64
Email,20,1822.56
Email,20,1688.0
Email,20,1228.65
Email,20,1996.84
Email,20,1826.03
Email,20,1612.74
Email,20,1534.73
Email,20,1264.48
Email,20,1655.87
Email,20,1731.16
Email,20,1367.28
Email,20,1925.42
Email,20,1292.78
Email,20,1005.53
Email,20,1891.12
Email,20,1487.06
Email,20,1564.71
Email,20,1365.5
Email,20,1150.33
Email,20,1951.47
Email,20,1407.12
Email,20,2065.07
Email,20,1826.05
Email,20,1511.87
Email,20,1295.95
Email,20,1394.91
Email,20,1260.49
Email,20,2184.39
Email,20,1646.04
Email,20,1922.06
Email,20,1245.14
Email,20,1650.69
Email,20,1929.8
Email,20,1506.2
Email,20,1888.71
Email,20,1296.32
Email,20,1218.23
Email,20,1706.23
Email,20,1493.83
Email,30,2279.78
Email,30,1546.19
Email,30,2299.43
Email,30,2827.53
Email,30,2093.1
Email,30,2109.56
Email,30,2150.27
Email,30,1578.65
Email,30,2219.32
Email,30,1650.49
Email,30,1980.25
Email,30,2448.0
Email,30,1894.14
Email,30,2240.35
Email,30,2383.57
Email,30,2178.05
Email,30,1716.13
Email,30,2006.91
Email,30,2648.64
Email,30,1532.99
Email,30,2022.78
Email,30,1945.41
Email,30,2133.81
Email,30,2309.5
Email,30,2550.43
Email,30,2024.33
Email,30,2327.46
Email,30,2239.93
Email,30,2232.82
Email,30,1942.1
Email,30,1820.75
Email,30,1791.99
Email,30,1888.2
Email,30,2190.07
Email,30,2313.07
Email,30,2190.57
Email,30,1946.29
Email,30,2605.67
Email,30,2525.28
Email,30,2000.88
Email,30,1869.44
Email,30,2136.46
Email,30,2454.84
Email,30,2193.17
Email,30,2255.83
Email,30,2040.62
Email,30,2227.76
Email,30,2532.47
Email,30,2032.89
Email,30,2140.13
Push,10,1171.07
Push,10,1179.44
Push,10,704.67
Push,10,574.48
Push,10,814.5
Push,10,1147.02
Push,10,1255.08
Push,10,951.41
Push,10,1485.63
Push,10,1059.91
Push,10,1105.69
Push,10,1045.69
Push,10,1137.53
Push,10,1297.25
Push,10,1286.38
Push,10,848.44
Push,10,1526.63
Push,10,793.39
Push,10,1122.18
Push,10,1023.17
Push,10,806.28
Push,10,1078.97
